,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2015-05-01,10000809.862990532,0,0,0,0,0,0,10000809.862990532
2015-05-02,10001619.79156887,0,0,0,0,0,0,10001619.79156887
2015-05-03,10002429.785740325,0,0,0,0,0,0,10002429.785740325
2015-05-04,9987429.785740312,-1.2878444977104664e-08,15000.000000000004,-3.0418199411512667e-10,-2.418365376587954e-12,4999999.999999989,-5000000.000000001,9987429.7857403
2015-05-05,9987429.785740312,100993.18717553238,0,-3.046656782608424e-10,-2.418365376587954e-12,5062284.869908955,-4961291.682733421,10088422.972915845
2015-05-06,9987429.785740312,147919.90326124095,0,-3.0246495691182885e-10,-2.418365376587954e-12,5072271.197359081,-4924351.294097841,10135349.689001553
2015-05-07,9987429.785740312,193239.12663339963,0,-3.0007078035519253e-10,-2.418365376587954e-12,5066983.101488621,-4873743.974855221,10180668.912373712
2015-05-08,9987429.785740312,162349.51489905384,0,-3.042787309442698e-10,-2.418365376587954e-12,5081167.8479791405,-4918818.333080084,10149779.300639367
2015-05-09,9987429.785740312,162349.51489905384,0,-3.042787309442698e-10,-2.418365376587954e-12,5081167.8479791405,-4918818.333080084,10149779.300639367
2015-05-10,9987429.785740312,162349.51489905384,0,-3.042787309442698e-10,-2.418365376587954e-12,5081167.8479791405,-4918818.333080084,10149779.300639367
2015-05-11,9987429.785740312,275422.0132620865,0,-3.050767959467031e-10,-2.418365376587954e-12,5134902.322939188,-4859480.3096771045,10262851.799002398
2015-05-12,9987429.785740312,352034.3563154422,0,-3.0261005293021175e-10,-2.418365376587954e-12,5140081.744514898,-4788047.388199457,10339464.142055754
2015-05-13,9987429.785740312,442522.78133321623,0,-3.039885204568404e-10,-2.418365376587954e-12,5200647.213544636,-4758124.43221142,10429952.567073528
2015-05-14,9987429.785740312,485382.78282639873,0,-3.0483496309917696e-10,-2.418365376587954e-12,5227754.8673516065,-4742372.084525208,10472812.568566712
2015-05-15,9987429.785740312,525581.3215922733,0,-3.067938331500009e-10,-2.418365376587954e-12,5267783.176416099,-4742201.854823823,10513011.107332585
2015-05-16,9987429.785740312,525581.3215922733,0,-3.067938331500009e-10,-2.418365376587954e-12,5267783.176416099,-4742201.854823823,10513011.107332585
2015-05-17,9987429.785740312,525581.3215922733,0,-3.067938331500009e-10,-2.418365376587954e-12,5267783.176416099,-4742201.854823823,10513011.107332585
2015-05-18,9987429.785740312,562254.9167009471,0,-3.0628597863499706e-10,-2.418365376587954e-12,5290573.271968598,-4728318.3552676495,10549684.70244126
2015-05-19,9987429.785740312,655237.9168409114,0,-3.080030158382949e-10,-2.418365376587954e-12,5342431.061367375,-4687193.144526466,10642667.702581223
2015-05-20,9987429.785740312,687227.1431013185,0,-3.0809975266743804e-10,-2.418365376587954e-12,5336721.353208384,-4649494.210107066,10674656.92884163
2015-05-21,9987429.785740312,731663.5372780516,0,-3.0747097250333934e-10,-2.418365376587954e-12,5366044.587197064,-4634381.049919014,10719093.323018365
2015-05-22,9987429.785740312,744122.0014075289,0,-3.0768863498157736e-10,-2.418365376587954e-12,5377456.133125949,-4633334.131718421,10731551.78714784
2015-05-23,9987429.785740312,744122.0014075289,0,-3.0768863498157736e-10,-2.418365376587954e-12,5377456.133125949,-4633334.131718421,10731551.78714784
2015-05-24,9987429.785740312,744122.0014075289,0,-3.0768863498157736e-10,-2.418365376587954e-12,5377456.133125949,-4633334.131718421,10731551.78714784
2015-05-25,9987429.785740312,744122.0014075289,0,-3.0768863498157736e-10,-2.418365376587954e-12,5377456.133125949,-4633334.131718421,10731551.78714784
2015-05-26,9987429.785740312,797079.1558169196,0,-3.0674545551009754e-10,-2.418365376587954e-12,5394506.039040955,-4597426.883224037,10784508.941557232
2015-05-27,9987429.785740312,834431.8605015667,0,-3.049800591175599e-10,-2.418365376587954e-12,5412484.807356655,-4578052.946855088,10821861.64624188
2015-05-28,9987429.785740312,839304.5123255437,0,-3.0676964433004924e-10,-2.418365376587954e-12,5425645.653822652,-4586341.141497108,10826734.298065856
2015-05-29,9987429.785740312,887359.0226416094,0,-3.0701147717757536e-10,-2.418365376587954e-12,5444507.800301063,-4557148.777659455,10874788.808381923
2015-05-30,9987429.785740312,887359.0226416094,0,-3.0701147717757536e-10,-2.418365376587954e-12,5444507.800301063,-4557148.777659455,10874788.808381923
2015-05-31,9987429.785740312,887359.0226416094,0,-3.0701147717757536e-10,-2.418365376587954e-12,5444507.800301063,-4557148.777659455,10874788.808381923
2015-06-01,9987429.785740312,915179.3330585707,0,-3.0616505298590225e-10,-2.418365376587954e-12,5489121.495997856,-4573942.162939288,10902609.118798884
2015-06-02,9987429.785740312,939199.4934925546,0,-3.049800591175599e-10,-2.418365376587954e-12,5459793.383273801,-4520593.889781247,10926629.279232867
2015-06-03,9987429.785740312,905549.1124044069,0,-3.0664873713161794e-10,-2.418365376587954e-12,5502700.644328316,-4597151.531923909,10892978.898144718
2015-06-04,9987429.785740312,858427.2965718553,0,-3.053428176141809e-10,-2.418365376587954e-12,5528898.194992306,-4670470.89842045,10845857.082312167
2015-06-05,9987429.785740312,826059.5539711961,0,-3.039643500875522e-10,-2.418365376587954e-12,5498825.707185263,-4672766.153214065,10813489.339711508
2015-06-06,9987429.785740312,826059.5539711961,0,-3.039643500875522e-10,-2.418365376587954e-12,5498825.707185263,-4672766.153214065,10813489.339711508
2015-06-07,9987429.785740312,826059.5539711961,0,-3.039643500875522e-10,-2.418365376587954e-12,5498825.707185263,-4672766.153214065,10813489.339711508
2015-06-08,9987429.785740312,776721.2616756578,0,-3.039643500875522e-10,-2.418365376587954e-12,5571606.945069845,-4794885.683394187,10764151.04741597
2015-06-09,9987429.785740312,797112.436337021,0,-3.020780280459198e-10,-2.418365376587954e-12,5550612.527798844,-4753500.091461823,10784542.222077332
2015-06-10,9987429.785740312,780244.9423051081,0,-3.031904739050707e-10,-2.418365376587954e-12,5525060.55887161,-4744815.6165665025,10767674.72804542
2015-06-11,9987429.785740312,806944.3555566458,0,-3.0631016745494877e-10,-2.418365376587954e-12,5565912.6077520475,-4758968.2521954,10794374.141296959
2015-06-12,9987429.785740312,768075.937882218,0,-3.0529443997427744e-10,-2.418365376587954e-12,5555117.358098008,-4787041.420215788,10755505.72362253
2015-06-13,9987429.785740312,768075.937882218,0,-3.0529443997427744e-10,-2.418365376587954e-12,5555117.358098008,-4787041.420215788,10755505.72362253
2015-06-14,9987429.785740312,768075.937882218,0,-3.0529443997427744e-10,-2.418365376587954e-12,5555117.358098008,-4787041.420215788,10755505.72362253
2015-06-15,9987429.785740312,809521.1993939687,0,-3.0224731288425444e-10,-2.418365376587954e-12,5528349.83288415,-4718828.633490182,10796950.985134281
2015-06-16,9987429.785740312,930974.848911184,0,-3.028277154084497e-10,-2.418365376587954e-12,5574046.671479571,-4643071.822568388,10918404.634651497
2015-06-17,9987429.785740312,907064.1689122114,0,-3.0505260712675143e-10,-2.418365376587954e-12,5560092.128665737,-4653027.959753528,10894493.954652524
2015-06-18,9987429.785740312,900996.828049772,0,-3.057781241199932e-10,-2.418365376587954e-12,5540268.792955649,-4639271.964905876,10888426.613790084
2015-06-19,9987429.785740312,777102.1405557492,0,-3.077128053508654e-10,-2.418365376587954e-12,5518816.44102502,-4741714.300469271,10764531.92629606
2015-06-20,9987429.785740312,777102.1405557492,0,-3.077128053508654e-10,-2.418365376587954e-12,5518816.44102502,-4741714.300469271,10764531.92629606
2015-06-21,9987429.785740312,777102.1405557492,0,-3.077128053508654e-10,-2.418365376587954e-12,5518816.44102502,-4741714.300469271,10764531.92629606
2015-06-22,9987429.785740312,859216.4111863051,0,-3.0887362884991964e-10,-2.418365376587954e-12,5540189.855532473,-4680973.444346166,10846646.196926618
2015-06-23,9987429.785740312,844766.2757637966,0,-3.089945360483509e-10,-2.418365376587954e-12,5552240.442899885,-4707474.167136086,10832196.061504109
2015-06-24,9987429.785740312,753066.9405158737,0,-3.082932263257243e-10,-2.418365376587954e-12,5528266.105398098,-4775199.164882226,10740496.726256186
2015-06-25,9987429.785740312,749281.4901646026,0,-3.072774988450531e-10,-2.418365376587954e-12,5495168.668410676,-4745887.178246071,10736711.275904914
2015-06-26,9987429.785740312,689002.9776385744,0,-3.0572974648008987e-10,-2.418365376587954e-12,5446821.866847975,-4757818.889209398,10676432.763378887
2015-06-27,9987429.785740312,689002.9776385744,0,-3.0572974648008987e-10,-2.418365376587954e-12,5446821.866847975,-4757818.889209398,10676432.763378887
2015-06-28,9987429.785740312,689002.9776385744,0,-3.0572974648008987e-10,-2.418365376587954e-12,5446821.866847975,-4757818.889209398,10676432.763378887
2015-06-29,10737741.828253664,1.0550138540565968e-09,14929.953266607885,0,0,6.548361852765083e-11,1.2369127944111824e-10,10737741.828253666
2015-06-30,10738611.438224522,0,0,0,0,0,0,10738611.438224522
2015-07-01,10739481.118621875,0,0,0,0,0,0,10739481.118621875
2015-07-02,10740350.869451424,0,0,0,0,0,0,10740350.869451424
2015-07-03,10741220.690718874,0,0,0,0,0,0,10741220.690718874
2015-07-04,10742090.582429929,0,0,0,0,0,0,10742090.582429929
2015-07-05,10742960.544590294,0,0,0,0,0,0,10742960.544590294
2015-07-06,10743830.577205675,0,0,0,0,0,0,10743830.577205675
2015-07-07,10744700.680281777,0,0,0,0,0,0,10744700.680281777
2015-07-08,10745570.853824306,0,0,0,0,0,0,10745570.853824306
2015-07-09,10746441.097838972,0,0,0,0,0,0,10746441.097838972
2015-07-10,10747311.412331479,0,0,0,0,0,0,10747311.412331479
2015-07-11,10748181.797307536,0,0,0,0,0,0,10748181.797307536
2015-07-12,10749052.25277285,0,0,0,0,0,0,10749052.25277285
2015-07-13,10749922.778733132,0,0,0,0,0,0,10749922.778733132
