,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2001-05-04,10000809.862990532,0,0,0,0,0,0,10000809.862990532
2001-05-05,10001619.79156887,0,0,0,0,0,0,10001619.79156887
2001-05-06,10002429.785740325,0,0,0,0,0,0,10002429.785740325
2001-05-07,9987429.785740329,-1.949956640601158e-09,14999.999999999976,-5.167256258583429e-10,-7.41356741008257e-12,5000000.0,-5000000.000000002,9987429.785740327
2001-05-08,9987429.785740329,6125.850287105684,0,-5.17763520770872e-10,-7.41356741008257e-12,5042558.506754186,-5036432.656467081,9993555.636027435
2001-05-09,9987429.785740329,61397.631172278736,0,-5.120550987519619e-10,-7.41356741008257e-12,5090430.658094044,-5029033.026921765,10048827.416912608
2001-05-10,9987429.785740329,58478.23479475686,0,-5.185790177108635e-10,-7.41356741008257e-12,5141549.174559558,-5083070.9397648,10045908.020535085
2001-05-11,9987429.785740329,153935.1775525908,0,-5.104241048719789e-10,-7.41356741008257e-12,5197712.440698357,-5043777.263145765,10141364.96329292
2001-05-12,9987429.785740329,153935.1775525908,0,-5.104241048719789e-10,-7.41356741008257e-12,5197712.440698357,-5043777.263145765,10141364.96329292
2001-05-13,9987429.785740329,153935.1775525908,0,-5.104241048719789e-10,-7.41356741008257e-12,5197712.440698357,-5043777.263145765,10141364.96329292
2001-05-14,9987429.785740329,338073.6536632219,0,-5.079776140520042e-10,-7.41356741008257e-12,5274098.683596959,-4936025.029933739,10325503.43940355
2001-05-15,9987429.785740329,534062.3253124062,0,-5.089414140143746e-10,-7.41356741008257e-12,5311313.465177164,-4777251.139864759,10521492.111052735
2001-05-16,9987429.785740329,578291.7607504347,0,-5.083483150469206e-10,-7.41356741008257e-12,5372087.648803295,-4793795.888052861,10565721.546490764
2001-05-17,9987429.785740329,492802.89206657064,0,-5.256219406870604e-10,-7.41356741008257e-12,5439592.31377703,-4946789.42171046,10480232.677806899
2001-05-18,9987429.785740329,567316.7353664085,0,-5.267339871107789e-10,-7.41356741008257e-12,5494784.545056949,-4927467.809690544,10554746.521106737
2001-05-19,9987429.785740329,567316.7353664085,0,-5.267339871107789e-10,-7.41356741008257e-12,5494784.545056949,-4927467.809690544,10554746.521106737
2001-05-20,9987429.785740329,567316.7353664085,0,-5.267339871107789e-10,-7.41356741008257e-12,5494784.545056949,-4927467.809690544,10554746.521106737
2001-05-21,9987429.785740329,620146.2056471445,0,-5.293287243921016e-10,-7.41356741008257e-12,5578099.170285545,-4957952.9646384,10607575.991387473
2001-05-22,9987429.785740329,490268.4120664897,0,-5.386698351658942e-10,-7.41356741008257e-12,5654509.181091672,-5164240.769025182,10477698.197806818
2001-05-23,9987429.785740329,418900.92911460885,0,-5.337768535259451e-10,-7.41356741008257e-12,5675884.827997675,-5256983.898883066,10406330.714854937
2001-05-24,9987429.785740329,518051.52056744543,0,-5.294028759032911e-10,-7.41356741008257e-12,5653801.270460565,-5135749.7498931205,10505481.306307774
2001-05-25,9987429.785740329,628125.8353842511,0,-5.300700698209037e-10,-7.41356741008257e-12,5715572.327868674,-5087446.492484422,10615555.62112458
2001-05-26,9987429.785740329,628125.8353842511,0,-5.300700698209037e-10,-7.41356741008257e-12,5715572.327868674,-5087446.492484422,10615555.62112458
2001-05-27,9987429.785740329,628125.8353842511,0,-5.300700698209037e-10,-7.41356741008257e-12,5715572.327868674,-5087446.492484422,10615555.62112458
2001-05-28,9987429.785740329,628125.8353842511,0,-5.300700698209037e-10,-7.41356741008257e-12,5715572.327868674,-5087446.492484422,10615555.62112458
