,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2001-05-04,10000000,0,0,0,0,0,0,10000000
2001-05-05,10000000,0,0,0,0,0,0,10000000
2001-05-06,10000000,0,0,0,0,0,0,10000000
2001-05-07,9985000.000000004,-1.949956640601158e-09,14999.999999999976,-5.167256258583429e-10,-7.41356741008257e-12,5000000.0,-5000000.000000002,9985000.000000002
2001-05-08,9985000.000000004,6125.850287105684,0,-5.17763520770872e-10,-7.41356741008257e-12,5042558.506754186,-5036432.656467081,9991125.85028711
2001-05-09,9985000.000000004,61397.631172278736,0,-5.120550987519619e-10,-7.41356741008257e-12,5090430.658094044,-5029033.026921765,10046397.631172283
2001-05-10,9985000.000000004,58478.23479475686,0,-5.185790177108635e-10,-7.41356741008257e-12,5141549.174559558,-5083070.9397648,10043478.23479476
2001-05-11,9985000.000000004,153935.1775525908,0,-5.104241048719789e-10,-7.41356741008257e-12,5197712.440698357,-5043777.263145765,10138935.177552594
2001-05-12,9985000.000000004,153935.1775525908,0,-5.104241048719789e-10,-7.41356741008257e-12,5197712.440698357,-5043777.263145765,10138935.177552594
2001-05-13,9985000.000000004,153935.1775525908,0,-5.104241048719789e-10,-7.41356741008257e-12,5197712.440698357,-5043777.263145765,10138935.177552594
2001-05-14,9985000.000000004,338073.6536632219,0,-5.079776140520042e-10,-7.41356741008257e-12,5274098.683596959,-4936025.029933739,10323073.653663225
2001-05-15,9985000.000000004,534062.3253124062,0,-5.089414140143746e-10,-7.41356741008257e-12,5311313.465177164,-4777251.139864759,10519062.32531241
2001-05-16,9985000.000000004,578291.7607504347,0,-5.083483150469206e-10,-7.41356741008257e-12,5372087.648803295,-4793795.888052861,10563291.760750439
2001-05-17,9985000.000000004,492802.89206657064,0,-5.256219406870604e-10,-7.41356741008257e-12,5439592.31377703,-4946789.42171046,10477802.892066574
2001-05-18,9985000.000000004,567316.7353664085,0,-5.267339871107789e-10,-7.41356741008257e-12,5494784.545056949,-4927467.809690544,10552316.735366412
2001-05-19,9985000.000000004,567316.7353664085,0,-5.267339871107789e-10,-7.41356741008257e-12,5494784.545056949,-4927467.809690544,10552316.735366412
2001-05-20,9985000.000000004,567316.7353664085,0,-5.267339871107789e-10,-7.41356741008257e-12,5494784.545056949,-4927467.809690544,10552316.735366412
2001-05-21,9985000.000000004,620146.2056471445,0,-5.293287243921016e-10,-7.41356741008257e-12,5578099.170285545,-4957952.9646384,10605146.205647148
2001-05-22,9985000.000000004,490268.4120664897,0,-5.386698351658942e-10,-7.41356741008257e-12,5654509.181091672,-5164240.769025182,10475268.412066493
2001-05-23,9985000.000000004,418900.92911460885,0,-5.337768535259451e-10,-7.41356741008257e-12,5675884.827997675,-5256983.898883066,10403900.929114612
2001-05-24,9985000.000000004,518051.52056744543,0,-5.294028759032911e-10,-7.41356741008257e-12,5653801.270460565,-5135749.7498931205,10503051.520567449
2001-05-25,9985000.000000004,628125.8353842511,0,-5.300700698209037e-10,-7.41356741008257e-12,5715572.327868674,-5087446.492484422,10613125.835384255
2001-05-26,9985000.000000004,628125.8353842511,0,-5.300700698209037e-10,-7.41356741008257e-12,5715572.327868674,-5087446.492484422,10613125.835384255
2001-05-27,9985000.000000004,628125.8353842511,0,-5.300700698209037e-10,-7.41356741008257e-12,5715572.327868674,-5087446.492484422,10613125.835384255
2001-05-28,9985000.000000004,628125.8353842511,0,-5.300700698209037e-10,-7.41356741008257e-12,5715572.327868674,-5087446.492484422,10613125.835384255
2001-05-29,9985000.000000004,671048.4667721493,0,-5.239909468070773e-10,-7.41356741008257e-12,5721255.083817148,-5050206.617044999,10656048.466772154
