,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2018-05-28,10000637.005470604,0,0.0,0,0,0,0,10000637.005470604
2018-05-29,9995537.005470604,0.0,5100.000000000001,-0.0,-0.0,5000000.0,-5000000.0,9995537.005470604
2018-05-30,9994079.259700006,-240530.37106953072,1457.745770597104,-0.0,-0.0,4618622.197587483,-4859152.568657014,9753548.888630476
2018-05-31,9992637.990820982,-98335.28242262511,1441.2688790239893,-0.0,-0.0,4705894.3143240055,-4804229.596746631,9894302.708398357
2018-06-01,9991195.541639414,-15277.231679921853,1442.4491815682234,-0.0,-0.0,4792886.706880823,-4808163.938560745,9975918.309959492
2018-06-02,9989753.092457846,-15277.231679921853,1442.4491815682234,-0.0,-0.0,4792886.706880823,-4808163.938560745,9974475.860777924
2018-06-03,9988310.643276278,-15277.231679921853,1442.4491815682234,-0.0,-0.0,4792886.706880823,-4808163.938560745,9973033.411596356
2018-06-04,9986872.374590287,-1299.5695520642912,1438.2686859903774,-0.0,-0.0,4792929.3837491935,-4794228.953301258,9985572.805038223
2018-06-05,9985449.030890098,107861.20557222655,1423.343700188535,-0.0,-0.0,4852340.206200677,-4744479.00062845,10093310.236462325
2018-06-06,9984026.821383055,235059.22069270408,1422.2095070428854,-0.0,-0.0,4975757.577502323,-4740698.356809619,10219086.042075759
2018-06-07,9982611.54725496,314155.4185076589,1415.2741280952541,-0.0,-0.0,5031735.84549184,-4717580.426984181,10296766.965762619
2018-06-08,9981211.128187938,352201.3039614997,1400.4190670221078,-0.0,-0.0,5020264.860701859,-4668063.556740359,10333412.432149438
2018-06-09,9979810.709120916,352201.3039614997,1400.4190670221078,-0.0,-0.0,5020264.860701859,-4668063.556740359,10332012.013082417
2018-06-10,9978410.290053895,352201.3039614997,1400.4190670221078,-0.0,-0.0,5020264.860701859,-4668063.556740359,10330611.594015395
2018-06-11,10409833.267360762,-1.1641532182693481e-09,6283.790818657647,0,0,-8.149072527885437e-10,-2.3283064365386963e-10,10409833.26736076
2018-06-12,10410496.3794347,0,0.0,0,0,0,0,10410496.3794347
2018-06-13,10411159.533749238,0,0.0,0,0,0,0,10411159.533749238
2018-06-14,10411822.730307069,0,0.0,0,0,0,0,10411822.730307069
2018-06-15,10412485.969110884,0,0.0,0,0,0,0,10412485.969110884
2018-06-16,10413149.250163374,0,0.0,0,0,0,0,10413149.250163374
2018-06-17,10413812.57346723,0,0.0,0,0,0,0,10413812.57346723
2018-06-18,10414475.939025143,0,0.0,0,0,0,0,10414475.939025143
2018-06-19,10415139.346839806,0,0.0,0,0,0,0,10415139.346839806
2018-06-20,10415802.796913909,0,0.0,0,0,0,0,10415802.796913909
2018-06-21,10416466.289250145,0,0.0,0,0,0,0,10416466.289250145
2018-06-22,10417129.823851205,0,0.0,0,0,0,0,10417129.823851205
2018-06-23,10417793.400719782,0,0.0,0,0,0,0,10417793.400719782
2018-06-24,10418457.019858569,0,0.0,0,0,0,0,10418457.019858569
2018-06-25,10419120.681270259,0,0.0,0,0,0,0,10419120.681270259
2018-06-26,10419784.384957543,0,0.0,0,0,0,0,10419784.384957543
2018-06-27,10420448.130923115,0,0.0,0,0,0,0,10420448.130923115
2018-06-28,10421111.919169668,0,0.0,0,0,0,0,10421111.919169668
2018-06-29,10421775.749699896,0,0.0,0,0,0,0,10421775.749699896
2018-06-30,10422439.622516492,0,0.0,0,0,0,0,10422439.622516492
2018-07-01,10423103.53762215,0,0.0,0,0,0,0,10423103.53762215
2018-07-02,10423767.495019563,0,0.0,0,0,0,0,10423767.495019563
2018-07-03,10424431.494711425,0,0.0,0,0,0,0,10424431.494711425
2018-07-04,10425095.536700431,0,0.0,0,0,0,0,10425095.536700431
2018-07-05,10425759.620989274,0,0.0,0,0,0,0,10425759.620989274
2018-07-06,10426423.747580651,0,0.0,0,0,0,0,10426423.747580651
2018-07-07,10427087.916477254,0,0.0,0,0,0,0,10427087.916477254
2018-07-08,10427752.127681779,0,0.0,0,0,0,0,10427752.127681779
2018-07-09,10428416.381196922,0,0.0,0,0,0,0,10428416.381196922
2018-07-10,10429080.677025376,0,0.0,0,0,0,0,10429080.677025376
2018-07-11,10429745.015169838,0,0.0,0,0,0,0,10429745.015169838
2018-07-12,10430409.395633005,0,0.0,0,0,0,0,10430409.395633005
2018-07-13,10431073.81841757,0,0.0,0,0,0,0,10431073.81841757
2018-07-14,10431738.283526229,0,0.0,0,0,0,0,10431738.283526229
2018-07-15,10432402.79096168,0,0.0,0,0,0,0,10432402.79096168
2018-07-16,10433067.340726616,0,0.0,0,0,0,0,10433067.340726616
2018-07-17,10433731.932823736,0,0.0,0,0,0,0,10433731.932823736
2018-07-18,10434396.567255737,0,0.0,0,0,0,0,10434396.567255737
2018-07-19,10435061.244025316,0,0.0,0,0,0,0,10435061.244025316
