,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2007-12-10,10000637.005470604,0,0.0,0,0,0,0,10000637.005470604
2007-12-11,9134847.423047556,1250000.0,4462.5,-388672.9175769526,-94544.61629213151,5000000.0,-3750000.0,9996174.505470604
2007-12-12,9133718.823010856,1124187.447501192,1128.6000367000706,-382905.6959831326,-94544.61629213151,4886187.569834761,-3762000.1223335695,9875000.574528916
2007-12-13,9132582.581004687,1056376.0001478186,1136.2420061700075,-377043.92977302044,-94544.61629213151,4843849.354047844,-3787473.3539000256,9811914.651379487
2007-12-14,9131495.526467513,953144.6045204091,1087.054537174028,-362200.4250151558,-94544.61629213151,4576659.728433836,-3623515.123913427,9722439.705972767
2007-12-15,9130408.47193034,953144.6045204091,1087.054537174028,-362200.4250151558,-94544.61629213151,4576659.728433836,-3623515.123913427,9721352.651435593
2007-12-16,9129321.417393167,953144.6045204091,1087.054537174028,-362200.4250151558,-94544.61629213151,4576659.728433836,-3623515.123913427,9720265.59689842
2007-12-17,9128186.40012292,897675.4284661582,1135.017270245673,-373167.60050504305,-94544.61629213151,4681066.329285068,-3783390.9008189104,9652694.228084035
2007-12-18,9127036.054164695,624527.0440745614,1150.3459582258122,-362011.3357825716,-94544.61629213151,4459013.571493936,-3834486.5274193743,9389551.762456685
2007-12-19,9125866.919187406,650627.7647122792,1169.1349772886365,-364564.0404224591,-94544.61629213151,4547744.355674401,-3897116.590962122,9411930.643477228
2007-12-20,9124671.792327708,612361.0573185922,1195.126859698134,-368724.00353931286,-94544.61629213151,4596117.256312373,-3983756.1989937807,9368308.846106987
2007-12-21,9123467.509955931,640154.73678189,1204.2823717752942,-375153.03744717786,-94544.61629213151,4654429.309366205,-4014274.5725843147,9388469.209290642
2007-12-22,9122263.227584155,640154.73678189,1204.2823717752942,-375153.03744717786,-94544.61629213151,4654429.309366205,-4014274.5725843147,9387264.926918866
2007-12-23,9121058.94521238,640154.73678189,1204.2823717752942,-375153.03744717786,-94544.61629213151,4654429.309366205,-4014274.5725843147,9386060.64454709
2007-12-24,9119837.043965982,805528.8290268995,1221.9012463967608,-382905.6959831326,-94544.61629213151,4878532.983682769,-4073004.15465587,9542460.17700975
2007-12-25,9118598.981972508,838701.9843852867,1238.0619934732144,-386025.668320773,-94544.61629213151,4965575.295962668,-4126873.3115773816,9571275.298037022
2007-12-26,9117350.89986134,812023.8329607039,1248.082111169012,-386214.7575533572,-94544.61629213151,4972297.536857411,-4160273.7038967074,9543159.975268686
2007-12-27,9926973.999225313,-401879.2925827764,1901.2087891557935,49046.41733958256,11907.360364064714,5060483.3379365355,-5462362.630519312,9574141.123982118
2007-12-28,10954989.496524986,-1562244.8041008525,2214.2487704611913,49832.30312361082,11907.360364064714,4067193.862450559,-5629438.666551412,9442576.995547744
2007-12-29,10953300.66492502,-1562244.8041008525,1688.8315999654235,49832.30312361082,11907.360364064714,4067193.862450559,-5629438.666551412,9440888.163947778
2007-12-30,10951611.833325054,-1562244.8041008525,1688.8315999654235,49832.30312361082,11907.360364064714,4067193.862450559,-5629438.666551412,9439199.332347812
2007-12-31,10949923.001725089,-1562244.8041008525,1688.8315999654235,49832.30312361082,11907.360364064714,4067193.862450559,-5629438.666551412,9437510.500747846
2008-01-01,10948234.170125123,-1562244.8041008525,1688.8315999654235,49832.30312361082,11907.360364064714,4067193.862450559,-5629438.666551412,9435821.66914788
2008-01-02,9495768.382805217,2.3283064365386963e-10,6598.760961717019,0,0,-1.1641532182693481e-10,2.3283064365386963e-10,9495768.382805217
2008-01-03,9496373.26844596,0,0.0,0,0,0,0,9496373.26844596
2008-01-04,9496978.192618247,0,0.0,0,0,0,0,9496978.192618247
2008-01-05,9497583.155324537,0,0.0,0,0,0,0,9497583.155324537
2008-01-06,9498188.156567281,0,0.0,0,0,0,0,9498188.156567281
2008-01-07,9498793.196348935,0,0.0,0,0,0,0,9498793.196348935
2008-01-08,9499398.274671955,0,0.0,0,0,0,0,9499398.274671955
2008-01-09,9500003.391538795,0,0.0,0,0,0,0,9500003.391538795
2008-01-10,9500608.54695191,0,0.0,0,0,0,0,9500608.54695191
2008-01-11,9501213.740913756,0,0.0,0,0,0,0,9501213.740913756
2008-01-12,9501818.973426789,0,0.0,0,0,0,0,9501818.973426789
2008-01-13,9502424.244493464,0,0.0,0,0,0,0,9502424.244493464
2008-01-14,9503029.554116238,0,0.0,0,0,0,0,9503029.554116238
2008-01-15,9503634.902297566,0,0.0,0,0,0,0,9503634.902297566
2008-01-16,9504240.289039902,0,0.0,0,0,0,0,9504240.289039902
2008-01-17,9504845.714345707,0,0.0,0,0,0,0,9504845.714345707
2008-01-18,9505451.178217433,0,0.0,0,0,0,0,9505451.178217433
2008-01-19,9506056.680657541,0,0.0,0,0,0,0,9506056.680657541
2008-01-20,9506662.221668486,0,0.0,0,0,0,0,9506662.221668486
2008-01-21,9507267.801252723,0,0.0,0,0,0,0,9507267.801252723
2008-01-22,9507873.419412712,0,0.0,0,0,0,0,9507873.419412712
2008-01-23,9508479.076150909,0,0.0,0,0,0,0,9508479.076150909
2008-01-24,9509084.771469772,0,0.0,0,0,0,0,9509084.771469772
2008-01-25,9509690.505371757,0,0.0,0,0,0,0,9509690.505371757
2008-01-26,9510296.277859323,0,0.0,0,0,0,0,9510296.277859323
2008-01-27,9510902.088934928,0,0.0,0,0,0,0,9510902.088934928
2008-01-28,9511507.93860103,0,0.0,0,0,0,0,9511507.93860103
2008-01-29,9512113.826860087,0,0.0,0,0,0,0,9512113.826860087
2008-01-30,9512719.753714558,0,0.0,0,0,0,0,9512719.753714558
2008-01-31,9513325.719166901,0,0.0,0,0,0,0,9513325.719166901
2008-02-01,9513931.723219575,0,0.0,0,0,0,0,9513931.723219575
2008-02-02,9514537.765875038,0,0.0,0,0,0,0,9514537.765875038
2008-02-03,9515143.84713575,0,0.0,0,0,0,0,9515143.84713575
2008-02-04,9515749.96700417,0,0.0,0,0,0,0,9515749.96700417
2008-02-05,9516356.125482759,0,0.0,0,0,0,0,9516356.125482759
2008-02-06,9516962.322573973,0,0.0,0,0,0,0,9516962.322573973
2008-02-07,9517568.558280272,0,0.0,0,0,0,0,9517568.558280272
2008-02-08,9518174.83260412,0,0.0,0,0,0,0,9518174.83260412
2008-02-09,9518781.145547971,0,0.0,0,0,0,0,9518781.145547971
2008-02-10,9519387.49711429,0,0.0,0,0,0,0,9519387.49711429
2008-02-11,9519993.887305535,0,0.0,0,0,0,0,9519993.887305535
2008-02-12,9520600.316124167,0,0.0,0,0,0,0,9520600.316124167
2008-02-13,9521206.783572646,0,0.0,0,0,0,0,9521206.783572646
2008-02-14,9521813.289653433,0,0.0,0,0,0,0,9521813.289653433
2008-02-15,9522419.83436899,0,0.0,0,0,0,0,9522419.83436899
2008-02-16,9523026.417721778,0,0.0,0,0,0,0,9523026.417721778
2008-02-17,9523633.039714256,0,0.0,0,0,0,0,9523633.039714256
2008-02-18,9524239.700348888,0,0.0,0,0,0,0,9524239.700348888
2008-02-19,9524846.399628133,0,0.0,0,0,0,0,9524846.399628133
2008-02-20,9525453.137554454,0,0.0,0,0,0,0,9525453.137554454
2008-02-21,9526059.914130313,0,0.0,0,0,0,0,9526059.914130313
2008-02-22,9526666.729358172,0,0.0,0,0,0,0,9526666.729358172
2008-02-23,9527273.583240492,0,0.0,0,0,0,0,9527273.583240492
2008-02-24,9527880.475779738,0,0.0,0,0,0,0,9527880.475779738
2008-02-25,9528487.40697837,0,0.0,0,0,0,0,9528487.40697837
2008-02-26,9529094.376838852,0,0.0,0,0,0,0,9529094.376838852
2008-02-27,9529701.385363646,0,0.0,0,0,0,0,9529701.385363646
2008-02-28,9530308.432555215,0,0.0,0,0,0,0,9530308.432555215
2008-02-29,9530915.518416023,0,0.0,0,0,0,0,9530915.518416023
2008-03-01,9531522.64294853,0,0.0,0,0,0,0,9531522.64294853
2008-03-02,9532129.806155205,0,0.0,0,0,0,0,9532129.806155205
2008-03-03,9532737.008038506,0,0.0,0,0,0,0,9532737.008038506
2008-03-04,9533344.2486009,0,0.0,0,0,0,0,9533344.2486009
2008-03-05,9533951.52784485,0,0.0,0,0,0,0,9533951.52784485
2008-03-06,9534558.84577282,0,0.0,0,0,0,0,9534558.84577282
2008-03-07,9535166.202387273,0,0.0,0,0,0,0,9535166.202387273
2008-03-08,9535773.597690675,0,0.0,0,0,0,0,9535773.597690675
2008-03-09,9536381.031685492,0,0.0,0,0,0,0,9536381.031685492
2008-03-10,9536988.504374186,0,0.0,0,0,0,0,9536988.504374186
2008-03-11,9537596.015759222,0,0.0,0,0,0,0,9537596.015759222
2008-03-12,9538203.565843066,0,0.0,0,0,0,0,9538203.565843066
2008-03-13,9538811.154628184,0,0.0,0,0,0,0,9538811.154628184
2008-03-14,9539418.782117039,0,0.0,0,0,0,0,9539418.782117039
2008-03-15,9540026.448312096,0,0.0,0,0,0,0,9540026.448312096
2008-03-16,9540634.153215824,0,0.0,0,0,0,0,9540634.153215824
2008-03-17,9541241.896830685,0,0.0,0,0,0,0,9541241.896830685
2008-03-18,9541849.679159148,0,0.0,0,0,0,0,9541849.679159148
2008-03-19,9542457.500203677,0,0.0,0,0,0,0,9542457.500203677
2008-03-20,9543065.359966738,0,0.0,0,0,0,0,9543065.359966738
2008-03-21,9543673.2584508,0,0.0,0,0,0,0,9543673.2584508
2008-03-22,9544281.195658328,0,0.0,0,0,0,0,9544281.195658328
2008-03-23,9544889.171591789,0,0.0,0,0,0,0,9544889.171591789
2008-03-24,9545497.186253648,0,0.0,0,0,0,0,9545497.186253648
2008-03-25,9546105.239646375,0,0.0,0,0,0,0,9546105.239646375
2008-03-26,9546713.331772435,0,0.0,0,0,0,0,9546713.331772435
2008-03-27,9547321.462634297,0,0.0,0,0,0,0,9547321.462634297
2008-03-28,9547929.632234428,0,0.0,0,0,0,0,9547929.632234428
2008-03-29,9548537.840575295,0,0.0,0,0,0,0,9548537.840575295
2008-03-30,9549146.087659365,0,0.0,0,0,0,0,9549146.087659365
2008-03-31,9549754.373489108,0,0.0,0,0,0,0,9549754.373489108
2008-04-01,9550362.69806699,0,0.0,0,0,0,0,9550362.69806699
2008-04-02,9550971.061395481,0,0.0,0,0,0,0,9550971.061395481
2008-04-03,9551579.463477049,0,0.0,0,0,0,0,9551579.463477049
2008-04-04,9552187.904314162,0,0.0,0,0,0,0,9552187.904314162
2008-04-05,9552796.383909289,0,0.0,0,0,0,0,9552796.383909289
2008-04-06,9553404.902264899,0,0.0,0,0,0,0,9553404.902264899
2008-04-07,9554013.459383462,0,0.0,0,0,0,0,9554013.459383462
2008-04-08,9554622.055267446,0,0.0,0,0,0,0,9554622.055267446
2008-04-09,9555230.68991932,0,0.0,0,0,0,0,9555230.68991932
2008-04-10,9555839.363341557,0,0.0,0,0,0,0,9555839.363341557
2008-04-11,9556448.075536622,0,0.0,0,0,0,0,9556448.075536622
2008-04-12,9557056.826506987,0,0.0,0,0,0,0,9557056.826506987
2008-04-13,9557665.616255121,0,0.0,0,0,0,0,9557665.616255121
2008-04-14,9558274.444783496,0,0.0,0,0,0,0,9558274.444783496
2008-04-15,9558883.31209458,0,0.0,0,0,0,0,9558883.31209458
2008-04-16,9559492.218190847,0,0.0,0,0,0,0,9559492.218190847
