,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2007-12-10,10000637.005470604,0,0.0,0,0,0,0,10000637.005470604
2007-12-11,8746174.505470604,1250000.0,4462.5,0,0,5000000.0,-3750000.0,9996174.505470604
2007-12-12,8745045.905433904,1124187.447501192,1128.6000367000706,0,0,4886187.569834761,-3762000.1223335695,9869233.352935096
2007-12-13,8743909.663427735,1056376.0001478186,1136.2420061700075,0,0,4843849.354047844,-3787473.3539000256,9800285.663575552
2007-12-14,8742822.608890561,953144.6045204091,1087.054537174028,0,0,4576659.728433836,-3623515.123913427,9695967.21341097
2007-12-15,8741735.554353388,953144.6045204091,1087.054537174028,0,0,4576659.728433836,-3623515.123913427,9694880.158873796
2007-12-16,8740648.499816215,953144.6045204091,1087.054537174028,0,0,4576659.728433836,-3623515.123913427,9693793.104336623
2007-12-17,8739513.482545968,897675.4284661582,1135.017270245673,0,0,4681066.329285068,-3783390.9008189104,9637188.911012126
2007-12-18,8738363.136587743,624527.0440745614,1150.3459582258122,0,0,4459013.571493936,-3834486.5274193743,9362890.180662304
2007-12-19,8737194.001610454,650627.7647122792,1169.1349772886365,0,0,4547744.355674401,-3897116.590962122,9387821.766322734
2007-12-20,8735998.874750756,612361.0573185922,1195.126859698134,0,0,4596117.256312373,-3983756.1989937807,9348359.932069348
2007-12-21,8734794.59237898,640154.73678189,1204.2823717752942,0,0,4654429.309366205,-4014274.5725843147,9374949.32916087
2007-12-22,8733590.310007203,640154.73678189,1204.2823717752942,0,0,4654429.309366205,-4014274.5725843147,9373745.046789093
2007-12-23,8732386.027635427,640154.73678189,1204.2823717752942,0,0,4654429.309366205,-4014274.5725843147,9372540.764417317
2007-12-24,8731164.12638903,805528.8290268995,1221.9012463967608,0,0,4878532.983682769,-4073004.15465587,9536692.95541593
2007-12-25,8729926.064395556,838701.9843852867,1238.0619934732144,0,0,4965575.295962668,-4126873.3115773816,9568628.048780844
2007-12-26,8728677.982284388,812023.8329607039,1248.082111169012,0,0,4972297.536857411,-4160273.7038967074,9540701.815245092
2007-12-27,9976776.773495233,-401879.2925827764,1901.2087891557935,0,0,5060483.3379365355,-5462362.630519312,9574897.480912456
2007-12-28,11004792.270794906,-1562244.8041008525,2214.2487704611913,0,0,4067193.862450559,-5629438.666551412,9442547.466694053
2007-12-29,11003103.43919494,-1562244.8041008525,1688.8315999654235,0,0,4067193.862450559,-5629438.666551412,9440858.635094088
