,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2007-12-10,10000000.0,0,0.0,0,0,0,0,10000000.0
2007-12-11,9134210.417576952,1250000.0,4462.5,-388672.9175769526,-94544.61629213151,5000000.0,-3750000.0,9995537.5
2007-12-12,9133081.817540253,1124187.447501192,1128.6000367000706,-382905.6959831326,-94544.61629213151,4886187.569834761,-3762000.1223335695,9874363.569058312
2007-12-13,9131945.575534083,1056376.0001478186,1136.2420061700075,-377043.92977302044,-94544.61629213151,4843849.354047844,-3787473.3539000256,9811277.645908883
2007-12-14,9130858.52099691,953144.6045204091,1087.054537174028,-362200.4250151558,-94544.61629213151,4576659.728433836,-3623515.123913427,9721802.700502163
2007-12-15,9129771.466459736,953144.6045204091,1087.054537174028,-362200.4250151558,-94544.61629213151,4576659.728433836,-3623515.123913427,9720715.64596499
2007-12-16,9128684.411922563,953144.6045204091,1087.054537174028,-362200.4250151558,-94544.61629213151,4576659.728433836,-3623515.123913427,9719628.591427816
2007-12-17,9127549.394652316,897675.4284661582,1135.017270245673,-373167.60050504305,-94544.61629213151,4681066.329285068,-3783390.9008189104,9652057.222613432
2007-12-18,9126399.04869409,624527.0440745614,1150.3459582258122,-362011.3357825716,-94544.61629213151,4459013.571493936,-3834486.5274193743,9388914.756986082
2007-12-19,9125229.913716802,650627.7647122792,1169.1349772886365,-364564.0404224591,-94544.61629213151,4547744.355674401,-3897116.590962122,9411293.638006624
2007-12-20,9124034.786857104,612361.0573185922,1195.126859698134,-368724.00353931286,-94544.61629213151,4596117.256312373,-3983756.1989937807,9367671.840636384
2007-12-21,9122830.504485328,640154.73678189,1204.2823717752942,-375153.03744717786,-94544.61629213151,4654429.309366205,-4014274.5725843147,9387832.203820039
2007-12-22,9121626.222113552,640154.73678189,1204.2823717752942,-375153.03744717786,-94544.61629213151,4654429.309366205,-4014274.5725843147,9386627.921448262
2007-12-23,9120421.939741775,640154.73678189,1204.2823717752942,-375153.03744717786,-94544.61629213151,4654429.309366205,-4014274.5725843147,9385423.639076486
2007-12-24,9119200.038495379,805528.8290268995,1221.9012463967608,-382905.6959831326,-94544.61629213151,4878532.983682769,-4073004.15465587,9541823.171539146
2007-12-25,9117961.976501904,838701.9843852867,1238.0619934732144,-386025.668320773,-94544.61629213151,4965575.295962668,-4126873.3115773816,9570638.292566419
2007-12-26,9116713.894390736,812023.8329607039,1248.082111169012,-386214.7575533572,-94544.61629213151,4972297.536857411,-4160273.7038967074,9542522.969798082
