,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2007-12-10,10000000.0,0,0.0,0,0,0,0,10000000.0
2007-12-11,8745537.5,1250000.0,4462.5,0,0,5000000.0,-3750000.0,9995537.5
2007-12-12,8744408.8999633,1124187.447501192,1128.6000367000706,0,0,4886187.569834761,-3762000.1223335695,9868596.347464493
2007-12-13,8743272.657957131,1056376.0001478186,1136.2420061700075,0,0,4843849.354047844,-3787473.3539000256,9799648.658104949
2007-12-14,8742185.603419958,953144.6045204091,1087.054537174028,0,0,4576659.728433836,-3623515.123913427,9695330.207940366
2007-12-15,8741098.548882784,953144.6045204091,1087.054537174028,0,0,4576659.728433836,-3623515.123913427,9694243.153403193
2007-12-16,8740011.494345611,953144.6045204091,1087.054537174028,0,0,4576659.728433836,-3623515.123913427,9693156.09886602
2007-12-17,8738876.477075364,897675.4284661582,1135.017270245673,0,0,4681066.329285068,-3783390.9008189104,9636551.905541522
2007-12-18,8737726.131117139,624527.0440745614,1150.3459582258122,0,0,4459013.571493936,-3834486.5274193743,9362253.1751917
2007-12-19,8736556.99613985,650627.7647122792,1169.1349772886365,0,0,4547744.355674401,-3897116.590962122,9387184.76085213
2007-12-20,8735361.869280152,612361.0573185922,1195.126859698134,0,0,4596117.256312373,-3983756.1989937807,9347722.926598744
2007-12-21,8734157.586908376,640154.73678189,1204.2823717752942,0,0,4654429.309366205,-4014274.5725843147,9374312.323690265
2007-12-22,8732953.3045366,640154.73678189,1204.2823717752942,0,0,4654429.309366205,-4014274.5725843147,9373108.04131849
2007-12-23,8731749.022164823,640154.73678189,1204.2823717752942,0,0,4654429.309366205,-4014274.5725843147,9371903.758946713
2007-12-24,8730527.120918427,805528.8290268995,1221.9012463967608,0,0,4878532.983682769,-4073004.15465587,9536055.949945327
2007-12-25,8729289.058924953,838701.9843852867,1238.0619934732144,0,0,4965575.295962668,-4126873.3115773816,9567991.04331024
2007-12-26,8728040.976813784,812023.8329607039,1248.082111169012,0,0,4972297.536857411,-4160273.7038967074,9540064.809774488
2007-12-27,9976139.768024629,-401879.2925827764,1901.2087891557935,0,0,5060483.3379365355,-5462362.630519312,9574260.475441853
2007-12-28,11004155.265324302,-1562244.8041008525,2214.2487704611913,0,0,4067193.862450559,-5629438.666551412,9441910.46122345
2007-12-29,11002466.433724336,-1562244.8041008525,1688.8315999654235,0,0,4067193.862450559,-5629438.666551412,9440221.629623484
2007-12-30,11000777.60212437,-1562244.8041008525,1688.8315999654235,0,0,4067193.862450559,-5629438.666551412,9438532.798023518
2007-12-31,10999088.770524405,-1562244.8041008525,1688.8315999654235,0,0,4067193.862450559,-5629438.666551412,9436843.966423552
2008-01-01,10997399.93892444,-1562244.8041008525,1688.8315999654235,0,0,4067193.862450559,-5629438.666551412,9435155.134823587
2008-01-02,9495508.104159044,2.3283064365386963e-10,6573.540815245119,0,0,-1.1641532182693481e-10,2.3283064365386963e-10,9495508.104159044
2008-01-03,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-04,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-05,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-06,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-07,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-08,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-09,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-10,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-11,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-12,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-13,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-14,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-15,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-16,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-17,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-18,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-19,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-20,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-21,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-22,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-23,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-24,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-25,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-26,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-27,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-28,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-29,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-30,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-01-31,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-01,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-02,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-03,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-04,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-05,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-06,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-07,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-08,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-09,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-10,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-11,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-12,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-13,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-14,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-15,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-16,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-17,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-18,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-19,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-20,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-21,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-22,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-23,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-24,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-25,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-26,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-27,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-28,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-02-29,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-01,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-02,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-03,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-04,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-05,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-06,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-07,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-08,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-09,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-10,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-11,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-12,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-13,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-14,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-15,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-16,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-17,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-18,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-19,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-20,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-21,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-22,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-23,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-24,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-25,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-26,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-27,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-28,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-29,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-30,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-03-31,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-01,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-02,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-03,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-04,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-05,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-06,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-07,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-08,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-09,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-10,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-11,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-12,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-13,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-14,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-15,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-16,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-17,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-18,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-19,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-20,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-21,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-22,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-23,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-24,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-25,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-26,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-27,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-28,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-29,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-04-30,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-01,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-02,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-03,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-04,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-05,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-06,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-07,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-08,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-09,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-10,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-11,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-12,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-13,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-14,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-15,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-16,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-17,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-18,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-19,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-20,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-21,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-22,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-23,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-24,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-25,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-26,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-27,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-28,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-29,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-30,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-05-31,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-06-01,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-06-02,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-06-03,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-06-04,9495508.104159044,0,0.0,0,0,0,0,9495508.104159044
2008-06-05,9490665.395025924,4.656612873077393e-10,4842.709133121113,0,0,4747754.052079523,-4747754.052079523,9490665.395025924
2008-06-06,9489244.606265323,-46186.337722097174,1420.7887606009147,0,0,4689776.197614286,-4735962.535336383,9443058.268543227
2008-06-07,9487823.817504723,-46186.337722097174,1420.7887606009147,0,0,4689776.197614286,-4735962.535336383,9441637.479782626
2008-06-08,9486403.028744122,-46186.337722097174,1420.7887606009147,0,0,4689776.197614286,-4735962.535336383,9440216.691022025
2008-06-09,9484982.239983521,-46186.337722097174,1420.7887606009147,0,0,4689776.197614286,-4735962.535336383,9438795.902261425
2008-06-10,9483641.773579296,8095.815454336815,1340.4664042261518,0,0,4476317.162874843,-4468221.347420506,9491737.589033633
2008-06-11,9482381.528764449,-47725.7590283145,1260.244814847275,0,0,4153090.290462602,-4200816.049490917,9434655.769736135
