,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2007-12-10,10000637.005470604,0,0.0,0,0,0,0,10000637.005470604
2007-12-11,14015114.686295072,10000000.0,5100.000000000001,-14019577.680824468,-3410259.713165767,10000000.0,0,9995537.005470602
2007-12-12,14015114.686295072,9772375.139669523,0.0,-13811551.838321356,-3410259.713165767,9772375.139669523,0,9975937.987643236
2007-12-13,14015114.686295072,9687698.708095688,0.0,-13600115.736105079,-3410259.713165767,9687698.708095688,0,10102697.658285683
2007-12-14,14015114.686295072,9153319.456867673,0.0,-13064704.961138053,-3410259.713165767,9153319.456867673,0,10103729.18202469
2007-12-15,14015114.686295072,9153319.456867673,0.0,-13064704.961138053,-3410259.713165767,9153319.456867673,0,10103729.18202469
2007-12-16,14015114.686295072,9153319.456867673,0.0,-13064704.961138053,-3410259.713165767,9153319.456867673,0,10103729.18202469
2007-12-17,14015114.686295072,9362132.658570137,0.0,-13460295.087865282,-3410259.713165767,9362132.658570137,0,9916952.256999929
2007-12-18,14015114.686295072,8918027.142987872,0.0,-13057884.441711722,-3410259.713165767,8918027.142987872,0,9875257.387571221
2007-12-19,14015114.686295072,9095488.711348802,0.0,-13149961.453967197,-3410259.713165767,9095488.711348802,0,9960641.943676675
2007-12-20,14015114.686295072,9192234.512624746,0.0,-13300012.88134649,-3410259.713165767,9192234.512624746,0,9907336.317573328
2007-12-21,14015114.686295072,9308858.61873241,0.0,-13531910.541841764,-3410259.713165767,9308858.61873241,0,9792062.763185717
2007-12-22,14015114.686295072,9308858.61873241,0.0,-13531910.541841764,-3410259.713165767,9308858.61873241,0,9792062.763185717
2007-12-23,14015114.686295072,9308858.61873241,0.0,-13531910.541841764,-3410259.713165767,9308858.61873241,0,9792062.763185717
2007-12-24,14015114.686295072,9757065.967365539,0.0,-13811551.838321356,-3410259.713165767,9757065.967365539,0,9960628.815339254
2007-12-25,14015114.686295072,9931150.591925336,0.0,-13924090.408855828,-3410259.713165767,9931150.591925336,0,10022174.86936458
2007-12-26,14015114.686295072,9944595.073714823,0.0,-13930910.928282158,-3410259.713165767,9944595.073714823,0,10028798.831727734
2007-12-27,14289189.55035639,10120966.675873071,0.0,-14320934.622591112,-3476798.8887086944,10120966.675873071,0,10089221.603638347
2007-12-28,16348598.208155664,8134387.724901118,1050.8343409915358,-14550403.349245885,-3476798.8887086944,8134387.724901118,0,9932582.583810898
2007-12-29,16348598.208155664,8134387.724901118,0.0,-14550403.349245885,-3476798.8887086944,8134387.724901118,0,9932582.583810898
2007-12-30,16348598.208155664,8134387.724901118,0.0,-14550403.349245885,-3476798.8887086944,8134387.724901118,0,9932582.583810898
2007-12-31,16348598.208155664,8134387.724901118,0.0,-14550403.349245885,-3476798.8887086944,8134387.724901118,0,9932582.583810898
2008-01-01,16348598.208155664,8134387.724901118,0.0,-14550403.349245885,-3476798.8887086944,8134387.724901118,0,9932582.583810898
2008-01-02,10022691.80341783,-2.3283064365386963e-10,11507.585302591378,0,0,-2.3283064365386963e-10,0,10022691.80341783
