,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2007-12-10,10000637.005470604,0,0.0,0,0,0,0,10000637.005470604
2007-12-11,-4462.9945293962965,10000000.0,5100.000000000001,0,0,10000000.0,0,9995537.005470604
2007-12-12,-4462.9945293962965,9772375.139669523,0.0,0,0,9772375.139669523,0,9767912.145140126
2007-12-13,-4462.9945293962965,9687698.708095688,0.0,0,0,9687698.708095688,0,9683235.713566292
2007-12-14,-4462.9945293962965,9153319.456867673,0.0,0,0,9153319.456867673,0,9148856.462338276
2007-12-15,-4462.9945293962965,9153319.456867673,0.0,0,0,9153319.456867673,0,9148856.462338276
2007-12-16,-4462.9945293962965,9153319.456867673,0.0,0,0,9153319.456867673,0,9148856.462338276
2007-12-17,-4462.9945293962965,9362132.658570137,0.0,0,0,9362132.658570137,0,9357669.66404074
2007-12-18,-4462.9945293962965,8918027.142987872,0.0,0,0,8918027.142987872,0,8913564.148458475
2007-12-19,-4462.9945293962965,9095488.711348802,0.0,0,0,9095488.711348802,0,9091025.716819406
2007-12-20,-4462.9945293962965,9192234.512624746,0.0,0,0,9192234.512624746,0,9187771.51809535
2007-12-21,-4462.9945293962965,9308858.61873241,0.0,0,0,9308858.61873241,0,9304395.624203013
2007-12-22,-4462.9945293962965,9308858.61873241,0.0,0,0,9308858.61873241,0,9304395.624203013
2007-12-23,-4462.9945293962965,9308858.61873241,0.0,0,0,9308858.61873241,0,9304395.624203013
2007-12-24,-4462.9945293962965,9757065.967365539,0.0,0,0,9757065.967365539,0,9752602.972836142
2007-12-25,-4462.9945293962965,9931150.591925336,0.0,0,0,9931150.591925336,0,9926687.59739594
2007-12-26,-4462.9945293962965,9944595.073714823,0.0,0,0,9944595.073714823,0,9940132.079185426
2007-12-27,-4462.9945293962965,10120966.675873071,0.0,0,0,10120966.675873071,0,10116503.681343675
2007-12-28,2054945.6632698784,8134387.724901118,1050.8343409915358,0,0,8134387.724901118,0,10189333.388170997
2007-12-29,2054945.6632698784,8134387.724901118,0.0,0,0,8134387.724901118,0,10189333.388170997
2007-12-30,2054945.6632698784,8134387.724901118,0.0,0,0,8134387.724901118,0,10189333.388170997
2007-12-31,2054945.6632698784,8134387.724901118,0.0,0,0,8134387.724901118,0,10189333.388170997
2008-01-01,2054945.6632698784,8134387.724901118,0.0,0,0,8134387.724901118,0,10189333.388170997
