,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2007-12-10,10000000.0,0,0.0,0,0,0,0,10000000.0
2007-12-11,14014477.680824468,10000000.0,5100.000000000001,-14019577.680824468,-3410259.713165767,10000000.0,0,9994899.999999998
2007-12-12,14014477.680824468,9772375.139669523,0.0,-13811551.838321356,-3410259.713165767,9772375.139669523,0,9975300.982172633
2007-12-13,14014477.680824468,9687698.708095688,0.0,-13600115.736105079,-3410259.713165767,9687698.708095688,0,10102060.65281508
2007-12-14,14014477.680824468,9153319.456867673,0.0,-13064704.961138053,-3410259.713165767,9153319.456867673,0,10103092.176554086
2007-12-15,14014477.680824468,9153319.456867673,0.0,-13064704.961138053,-3410259.713165767,9153319.456867673,0,10103092.176554086
2007-12-16,14014477.680824468,9153319.456867673,0.0,-13064704.961138053,-3410259.713165767,9153319.456867673,0,10103092.176554086
2007-12-17,14014477.680824468,9362132.658570137,0.0,-13460295.087865282,-3410259.713165767,9362132.658570137,0,9916315.251529325
2007-12-18,14014477.680824468,8918027.142987872,0.0,-13057884.441711722,-3410259.713165767,8918027.142987872,0,9874620.382100618
2007-12-19,14014477.680824468,9095488.711348802,0.0,-13149961.453967197,-3410259.713165767,9095488.711348802,0,9960004.938206071
2007-12-20,14014477.680824468,9192234.512624746,0.0,-13300012.88134649,-3410259.713165767,9192234.512624746,0,9906699.312102724
2007-12-21,14014477.680824468,9308858.61873241,0.0,-13531910.541841764,-3410259.713165767,9308858.61873241,0,9791425.757715113
2007-12-22,14014477.680824468,9308858.61873241,0.0,-13531910.541841764,-3410259.713165767,9308858.61873241,0,9791425.757715113
2007-12-23,14014477.680824468,9308858.61873241,0.0,-13531910.541841764,-3410259.713165767,9308858.61873241,0,9791425.757715113
2007-12-24,14014477.680824468,9757065.967365539,0.0,-13811551.838321356,-3410259.713165767,9757065.967365539,0,9959991.80986865
2007-12-25,14014477.680824468,9931150.591925336,0.0,-13924090.408855828,-3410259.713165767,9931150.591925336,0,10021537.863893976
2007-12-26,14014477.680824468,9944595.073714823,0.0,-13930910.928282158,-3410259.713165767,9944595.073714823,0,10028161.82625713
2007-12-27,14288552.544885786,10120966.675873071,0.0,-14320934.622591112,-3476798.8887086944,10120966.675873071,0,10088584.598167744
2007-12-28,16347961.20268506,8134387.724901118,1050.8343409915358,-14550403.349245885,-3476798.8887086944,8134387.724901118,0,9931945.578340294
2007-12-29,16347961.20268506,8134387.724901118,0.0,-14550403.349245885,-3476798.8887086944,8134387.724901118,0,9931945.578340294
2007-12-30,16347961.20268506,8134387.724901118,0.0,-14550403.349245885,-3476798.8887086944,8134387.724901118,0,9931945.578340294
2007-12-31,16347961.20268506,8134387.724901118,0.0,-14550403.349245885,-3476798.8887086944,8134387.724901118,0,9931945.578340294
2008-01-01,16347961.20268506,8134387.724901118,0.0,-14550403.349245885,-3476798.8887086944,8134387.724901118,0,9931945.578340294
2008-01-02,10022054.797947226,-2.3283064365386963e-10,11507.585302591378,0,0,-2.3283064365386963e-10,0,10022054.797947226
2008-01-03,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-04,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-05,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-06,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-07,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-08,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-09,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-10,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-11,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-12,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-13,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-14,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-15,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-16,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-17,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-18,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-19,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-20,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-21,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-22,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-23,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-24,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-25,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-26,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-27,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-28,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-29,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-30,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-01-31,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-01,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-02,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-03,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-04,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-05,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-06,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-07,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-08,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-09,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-10,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-11,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-12,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-13,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-14,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-15,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-16,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-17,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-18,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-19,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-20,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-21,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-22,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-23,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-24,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-25,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-26,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-27,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-28,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-02-29,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-03-01,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-03-02,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-03-03,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-03-04,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-03-05,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-03-06,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-03-07,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-03-08,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-03-09,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-03-10,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-03-11,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-03-12,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-03-13,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-03-14,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
2008-03-15,10022054.797947226,0,0.0,0,0,0,0,10022054.797947226
