,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2007-12-10,10000000.0,0,0.0,0,0,0,0,10000000.0
2007-12-11,-5100.000000000001,10000000.0,5100.000000000001,0,0,10000000.0,0,9994900.0
2007-12-12,-5100.000000000001,9772375.139669523,0.0,0,0,9772375.139669523,0,9767275.139669523
2007-12-13,-5100.000000000001,9687698.708095688,0.0,0,0,9687698.708095688,0,9682598.708095688
2007-12-14,-5100.000000000001,9153319.456867673,0.0,0,0,9153319.456867673,0,9148219.456867673
2007-12-15,-5100.000000000001,9153319.456867673,0.0,0,0,9153319.456867673,0,9148219.456867673
2007-12-16,-5100.000000000001,9153319.456867673,0.0,0,0,9153319.456867673,0,9148219.456867673
2007-12-17,-5100.000000000001,9362132.658570137,0.0,0,0,9362132.658570137,0,9357032.658570137
2007-12-18,-5100.000000000001,8918027.142987872,0.0,0,0,8918027.142987872,0,8912927.142987872
2007-12-19,-5100.000000000001,9095488.711348802,0.0,0,0,9095488.711348802,0,9090388.711348802
2007-12-20,-5100.000000000001,9192234.512624746,0.0,0,0,9192234.512624746,0,9187134.512624746
2007-12-21,-5100.000000000001,9308858.61873241,0.0,0,0,9308858.61873241,0,9303758.61873241
2007-12-22,-5100.000000000001,9308858.61873241,0.0,0,0,9308858.61873241,0,9303758.61873241
2007-12-23,-5100.000000000001,9308858.61873241,0.0,0,0,9308858.61873241,0,9303758.61873241
2007-12-24,-5100.000000000001,9757065.967365539,0.0,0,0,9757065.967365539,0,9751965.967365539
2007-12-25,-5100.000000000001,9931150.591925336,0.0,0,0,9931150.591925336,0,9926050.591925336
2007-12-26,-5100.000000000001,9944595.073714823,0.0,0,0,9944595.073714823,0,9939495.073714823
2007-12-27,-5100.000000000001,10120966.675873071,0.0,0,0,10120966.675873071,0,10115866.675873071
2007-12-28,2054308.6577992747,8134387.724901118,1050.8343409915358,0,0,8134387.724901118,0,10188696.382700393
2007-12-29,2054308.6577992747,8134387.724901118,0.0,0,0,8134387.724901118,0,10188696.382700393
2007-12-30,2054308.6577992747,8134387.724901118,0.0,0,0,8134387.724901118,0,10188696.382700393
2007-12-31,2054308.6577992747,8134387.724901118,0.0,0,0,8134387.724901118,0,10188696.382700393
2008-01-01,2054308.6577992747,8134387.724901118,0.0,0,0,8134387.724901118,0,10188696.382700393
2008-01-02,10174912.0022189,-2.3283064365386963e-10,4143.620952339703,0,0,-2.3283064365386963e-10,0,10174912.0022189
2008-01-03,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-04,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-05,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-06,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-07,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-08,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-09,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-10,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-11,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-12,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-13,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-14,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-15,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-16,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-17,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-18,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-19,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-20,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-21,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-22,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-23,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-24,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-25,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
2008-01-26,10174912.0022189,0,0.0,0,0,0,0,10174912.0022189
