,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2007-12-10,10000637.005470604,0,0.0,0,0,0,0,10000637.005470604
2007-12-11,14015114.686295072,10000000.0,5100.000000000001,-14019577.680824468,-3410259.713165767,10000000.0,0,9995537.005470602
2007-12-12,14015114.686295072,9772375.139669523,0.0,-13811551.838321356,-3410259.713165767,9772375.139669523,0,9975937.987643236
2007-12-13,14015114.686295072,9687698.708095688,0.0,-13600115.736105079,-3410259.713165767,9687698.708095688,0,10102697.658285683
2007-12-14,10657292.680547398,5580268.280691496,1822.25609984985,-6135654.0353140505,-1601580.275466993,5580268.280691496,0,10101906.925924845
2007-12-15,10657292.680547398,5580268.280691497,0.0,-6135654.0353140505,-1601580.275466993,5580268.280691497,0,10101906.925924845
2007-12-16,10657292.680547398,5580268.280691497,0.0,-6135654.0353140505,-1601580.275466993,5580268.280691497,0,10101906.925924845
2007-12-17,10657292.680547398,5683934.147559126,0.0,-6321437.347268221,-1601580.275466993,5683934.147559126,0,10019789.480838303
2007-12-18,10083780.163557744,3655533.7519623237,912.6964933494559,-3770250.086914938,-984656.5909937158,3655533.7519623237,0,9969063.82860513
2007-12-19,10083780.163557744,3727551.020408163,0.0,-3796835.814871768,-984656.5909937158,3727551.020408163,0,10014495.369094139
2007-12-20,10083780.163557744,3784183.673469388,0.0,-3840160.7048754916,-984656.5909937158,3784183.673469388,0,10027803.132151641
2007-12-21,10083780.163557744,3836813.186813187,0.0,-3907117.353063064,-984656.5909937158,3836813.186813187,0,10013475.997307867
2007-12-22,10083780.163557744,3836813.186813187,0.0,-3907117.353063064,-984656.5909937158,3836813.186813187,0,10013475.997307867
2007-12-23,10083780.163557744,3836813.186813187,0.0,-3907117.353063064,-984656.5909937158,3836813.186813187,0,10013475.997307867
2007-12-24,10083780.163557744,3899332.8100470956,0.0,-3987859.193524549,-984656.5909937158,3899332.8100470956,0,9995253.78008029
2007-12-25,10083780.163557744,3918563.5792778647,0.0,-4020352.861027342,-984656.5909937158,3918563.5792778647,0,9981990.881808266
2007-12-26,10083780.163557744,3965934.065934066,0.0,-4022322.174209329,-984656.5909937158,3965934.065934066,0,10027392.055282481
2007-12-27,10202056.794094337,3996585.557299843,0.0,-4174077.1288397093,-1013371.4806602839,3996585.557299843,0,10024565.222554471
2007-12-28,10202056.794094337,4033320.251177394,0.0,-4240959.646563288,-1013371.4806602839,4033320.251177394,0,9994417.398708444
2007-12-29,10202056.794094337,4033320.251177394,0.0,-4240959.646563288,-1013371.4806602839,4033320.251177394,0,9994417.398708444
2007-12-30,10202056.794094337,4033320.251177394,0.0,-4240959.646563288,-1013371.4806602839,4033320.251177394,0,9994417.398708444
2007-12-31,10202056.794094337,4033320.251177394,0.0,-4240959.646563288,-1013371.4806602839,4033320.251177394,0,9994417.398708444
2008-01-01,10202056.794094337,4033320.251177394,0.0,-4240959.646563288,-1013371.4806602839,4033320.251177394,0,9994417.398708444
2008-01-02,10036018.161736974,0.0,4210.169878501582,0,0,0.0,0,10036018.161736974
