,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2007-12-10,10000637.005470604,0,0.0,0,0,0,0,10000637.005470604
2007-12-11,-4462.9945293962965,10000000.0,5100.000000000001,0,0,10000000.0,0,9995537.005470604
2007-12-12,-4462.9945293962965,9772375.139669523,0.0,0,0,9772375.139669523,0,9767912.145140126
2007-12-13,-4462.9945293962965,9687698.708095688,0.0,0,0,9687698.708095688,0,9683235.713566292
2007-12-14,3566765.92554693,5580268.280691496,1822.25609984985,0,0,5580268.280691496,0,9147034.206238426
2007-12-15,3566765.92554693,5580268.280691497,0.0,0,0,5580268.280691497,0,9147034.206238426
2007-12-16,3566765.92554693,5580268.280691497,0.0,0,0,5580268.280691497,0,9147034.206238426
2007-12-17,3566765.92554693,5683934.147559126,0.0,0,0,5683934.147559126,0,9250700.073106056
2007-12-18,5355454.1964054555,3655533.7519623237,912.6964933494559,0,0,3655533.7519623237,0,9010987.948367778
2007-12-19,5355454.1964054555,3727551.020408163,0.0,0,0,3727551.020408163,0,9083005.216813618
2007-12-20,5355454.1964054555,3784183.673469388,0.0,0,0,3784183.673469388,0,9139637.869874842
2007-12-21,5355454.1964054555,3836813.186813187,0.0,0,0,3836813.186813187,0,9192267.383218642
2007-12-22,5355454.1964054555,3836813.186813187,0.0,0,0,3836813.186813187,0,9192267.383218642
2007-12-23,5355454.1964054555,3836813.186813187,0.0,0,0,3836813.186813187,0,9192267.383218642
2007-12-24,5355454.1964054555,3899332.8100470956,0.0,0,0,3899332.8100470956,0,9254787.006452551
2007-12-25,5355454.1964054555,3918563.5792778647,0.0,0,0,3918563.5792778647,0,9274017.775683321
2007-12-26,5355454.1964054555,3965934.065934066,0.0,0,0,3965934.065934066,0,9321388.262339521
2007-12-27,5355454.1964054555,3996585.557299843,0.0,0,0,3996585.557299843,0,9352039.753705299
2007-12-28,5355454.1964054555,4033320.251177394,0.0,0,0,4033320.251177394,0,9388774.447582848
2007-12-29,5355454.1964054555,4033320.251177394,0.0,0,0,4033320.251177394,0,9388774.447582848
2007-12-30,5355454.1964054555,4033320.251177394,0.0,0,0,4033320.251177394,0,9388774.447582848
2007-12-31,5355454.1964054555,4033320.251177394,0.0,0,0,4033320.251177394,0,9388774.447582848
2008-01-01,5355454.1964054555,4033320.251177394,0.0,0,0,4033320.251177394,0,9388774.447582848
