,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2007-12-10,10000000.0,0,0.0,0,0,0,0,10000000.0
2007-12-11,14014477.680824468,10000000.0,5100.000000000001,-14019577.680824468,-3410259.713165767,10000000.0,0,9994899.999999998
2007-12-12,14014477.680824468,9772375.139669523,0.0,-13811551.838321356,-3410259.713165767,9772375.139669523,0,9975300.982172633
2007-12-13,14014477.680824468,9687698.708095688,0.0,-13600115.736105079,-3410259.713165767,9687698.708095688,0,10102060.65281508
2007-12-14,10656655.675076794,5580268.280691496,1822.25609984985,-6135654.0353140505,-1601580.275466993,5580268.280691496,0,10101269.920454241
2007-12-15,10656655.675076794,5580268.280691497,0.0,-6135654.0353140505,-1601580.275466993,5580268.280691497,0,10101269.920454241
2007-12-16,10656655.675076794,5580268.280691497,0.0,-6135654.0353140505,-1601580.275466993,5580268.280691497,0,10101269.920454241
2007-12-17,10656655.675076794,5683934.147559126,0.0,-6321437.347268221,-1601580.275466993,5683934.147559126,0,10019152.475367699
2007-12-18,10083143.15808714,3655533.7519623237,912.6964933494559,-3770250.086914938,-984656.5909937158,3655533.7519623237,0,9968426.823134527
2007-12-19,10083143.15808714,3727551.020408163,0.0,-3796835.814871768,-984656.5909937158,3727551.020408163,0,10013858.363623535
2007-12-20,10083143.15808714,3784183.673469388,0.0,-3840160.7048754916,-984656.5909937158,3784183.673469388,0,10027166.126681037
2007-12-21,10083143.15808714,3836813.186813187,0.0,-3907117.353063064,-984656.5909937158,3836813.186813187,0,10012838.991837263
2007-12-22,10083143.15808714,3836813.186813187,0.0,-3907117.353063064,-984656.5909937158,3836813.186813187,0,10012838.991837263
2007-12-23,10083143.15808714,3836813.186813187,0.0,-3907117.353063064,-984656.5909937158,3836813.186813187,0,10012838.991837263
2007-12-24,10083143.15808714,3899332.8100470956,0.0,-3987859.193524549,-984656.5909937158,3899332.8100470956,0,9994616.774609687
2007-12-25,10083143.15808714,3918563.5792778647,0.0,-4020352.861027342,-984656.5909937158,3918563.5792778647,0,9981353.876337662
2007-12-26,10083143.15808714,3965934.065934066,0.0,-4022322.174209329,-984656.5909937158,3965934.065934066,0,10026755.049811877
2007-12-27,10201419.788623733,3996585.557299843,0.0,-4174077.1288397093,-1013371.4806602839,3996585.557299843,0,10023928.217083868
2007-12-28,10201419.788623733,4033320.251177394,0.0,-4240959.646563288,-1013371.4806602839,4033320.251177394,0,9993780.39323784
2007-12-29,10201419.788623733,4033320.251177394,0.0,-4240959.646563288,-1013371.4806602839,4033320.251177394,0,9993780.39323784
2007-12-30,10201419.788623733,4033320.251177394,0.0,-4240959.646563288,-1013371.4806602839,4033320.251177394,0,9993780.39323784
2007-12-31,10201419.788623733,4033320.251177394,0.0,-4240959.646563288,-1013371.4806602839,4033320.251177394,0,9993780.39323784
2008-01-01,10201419.788623733,4033320.251177394,0.0,-4240959.646563288,-1013371.4806602839,4033320.251177394,0,9993780.39323784
2008-01-02,10035381.15626637,0.0,4210.169878501582,0,0,0.0,0,10035381.15626637
2008-01-03,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-04,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-05,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-06,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-07,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-08,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-09,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-10,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-11,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-12,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-13,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-14,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-15,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-16,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-17,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-18,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-19,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-20,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-21,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-22,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-23,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-24,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-25,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-26,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-27,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-28,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-29,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-30,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-01-31,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-01,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-02,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-03,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-04,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-05,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-06,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-07,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-08,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-09,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-10,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-11,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-12,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-13,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-14,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-15,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-16,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-17,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-18,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-19,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-20,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-21,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-22,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-23,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-24,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-25,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-26,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-27,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-28,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-02-29,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-03-01,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-03-02,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-03-03,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-03-04,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-03-05,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-03-06,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-03-07,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-03-08,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-03-09,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-03-10,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-03-11,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-03-12,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-03-13,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-03-14,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-03-15,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
2008-03-16,10035381.15626637,0,0.0,0,0,0,0,10035381.15626637
