,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2007-12-10,10000000.0,0,0.0,0,0,0,0,10000000.0
2007-12-11,-5100.000000000001,10000000.0,5100.000000000001,0,0,10000000.0,0,9994900.0
2007-12-12,-5100.000000000001,9772375.139669523,0.0,0,0,9772375.139669523,0,9767275.139669523
2007-12-13,-5100.000000000001,9687698.708095688,0.0,0,0,9687698.708095688,0,9682598.708095688
2007-12-14,3566128.9200763265,5580268.280691496,1822.25609984985,0,0,5580268.280691496,0,9146397.200767823
2007-12-15,3566128.9200763265,5580268.280691497,0.0,0,0,5580268.280691497,0,9146397.200767823
2007-12-16,3566128.9200763265,5580268.280691497,0.0,0,0,5580268.280691497,0,9146397.200767823
2007-12-17,3566128.9200763265,5683934.147559126,0.0,0,0,5683934.147559126,0,9250063.067635452
2007-12-18,5354817.190934852,3655533.7519623237,912.6964933494559,0,0,3655533.7519623237,0,9010350.942897175
2007-12-19,5354817.190934852,3727551.020408163,0.0,0,0,3727551.020408163,0,9082368.211343015
2007-12-20,5354817.190934852,3784183.673469388,0.0,0,0,3784183.673469388,0,9139000.864404239
2007-12-21,5354817.190934852,3836813.186813187,0.0,0,0,3836813.186813187,0,9191630.377748039
2007-12-22,5354817.190934852,3836813.186813187,0.0,0,0,3836813.186813187,0,9191630.377748039
2007-12-23,5354817.190934852,3836813.186813187,0.0,0,0,3836813.186813187,0,9191630.377748039
2007-12-24,5354817.190934852,3899332.8100470956,0.0,0,0,3899332.8100470956,0,9254150.000981947
2007-12-25,5354817.190934852,3918563.5792778647,0.0,0,0,3918563.5792778647,0,9273380.770212717
2007-12-26,5354817.190934852,3965934.065934066,0.0,0,0,3965934.065934066,0,9320751.256868917
2007-12-27,5354817.190934852,3996585.557299843,0.0,0,0,3996585.557299843,0,9351402.748234695
2007-12-28,5354817.190934852,4033320.251177394,0.0,0,0,4033320.251177394,0,9388137.442112245
2007-12-29,5354817.190934852,4033320.251177394,0.0,0,0,4033320.251177394,0,9388137.442112245
2007-12-30,5354817.190934852,4033320.251177394,0.0,0,0,4033320.251177394,0,9388137.442112245
2007-12-31,5354817.190934852,4033320.251177394,0.0,0,0,4033320.251177394,0,9388137.442112245
2008-01-01,5354817.190934852,4033320.251177394,0.0,0,0,4033320.251177394,0,9388137.442112245
2008-01-02,9399456.668956831,0.0,2063.8186813186812,0,0,0.0,0,9399456.668956831
2008-01-03,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-04,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-05,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-06,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-07,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-08,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-09,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-10,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-11,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-12,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-13,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-14,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-15,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-16,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-17,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-18,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-19,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-20,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-21,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-22,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-23,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-24,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-25,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-26,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
2008-01-27,9399456.668956831,0,0.0,0,0,0,0,9399456.668956831
