,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2007-12-10,10000637.005470604,0,0.0,0,0,0,0,10000637.005470604
2007-12-11,9134847.423047556,1250000.0,4462.5,-388672.9175769526,-94544.61629213151,5000000.0,-3750000.0,9996174.505470604
2007-12-12,9133718.823010856,1124187.447501192,1128.6000367000706,-382905.6959831326,-94544.61629213151,4886187.569834761,-3762000.1223335695,9875000.574528916
2007-12-13,9132582.581004687,1056376.0001478186,1136.2420061700075,-377043.92977302044,-94544.61629213151,4843849.354047844,-3787473.3539000256,9811914.651379487
2007-12-14,10694602.938634912,-833380.983567679,1998.1825870989528,-139693.37714439147,-36463.946004800695,2790134.140345748,-3623515.123913427,9721528.577922842
2007-12-15,10693515.884097738,-833380.9835676786,1087.054537174028,-139693.37714439147,-36463.946004800695,2790134.1403457485,-3623515.123913427,9720441.523385668
2007-12-16,10692428.829560565,-833380.9835676786,1087.054537174028,-139693.37714439147,-36463.946004800695,2790134.1403457485,-3623515.123913427,9719354.468848495
2007-12-17,10691293.812290318,-941423.8270393475,1135.017270245673,-143923.19488094834,-36463.946004800695,2841967.073779563,-3783390.9008189104,9605946.790370023
2007-12-18,12331335.757627983,-2006719.6514382125,1606.6942049005402,-886468.6051190099,-231514.39151710886,1827766.8759811618,-3834486.5274193743,9438147.50107076
2007-12-19,12330166.622650694,-2033341.0807580405,1169.1349772886365,-892719.4936899717,-231514.39151710886,1863775.5102040814,-3897116.590962122,9404106.048202682
2007-12-20,10150047.83574082,-673937.089531814,1918.1677687890433,-142432.7805029125,-36521.225769977566,1892091.836734694,-2566028.9262665077,9333677.965706093
2007-12-21,10149267.644278135,-682231.6155413575,780.1914626843852,-144916.22385527098,-36521.225769977566,1918406.5934065934,-2600638.208947951,9322119.804881508
2007-12-22,10148487.45281545,-682231.6155413575,780.1914626843852,-144916.22385527098,-36521.225769977566,1918406.5934065934,-2600638.208947951,9321339.613418823
2007-12-23,10147707.261352766,-682231.6155413575,780.1914626843852,-144916.22385527098,-36521.225769977566,1918406.5934065934,-2600638.208947951,9320559.421956139
2007-12-24,10146908.087379096,-714246.840541413,799.1739736694882,-147910.96436840913,-36521.225769977566,1949666.4050235478,-2663913.245564961,9284750.282469274
2007-12-25,10146096.84356744,-744864.2492111765,811.2438116550327,-149116.16481881842,-36521.225769977566,1959281.7896389323,-2704146.038850109,9252116.429537445
2007-12-26,8722145.886367775,610918.532647952,1529.0815104481471,-106356.17152240576,-26035.78250242491,1982967.032967033,-1372048.500319081,9226708.247493323
2007-12-27,8685266.532012938,748292.7786499215,1783.3200382897257,-236737.9936747955,-57474.628228889414,1998292.7786499215,-1250000.0000000002,9196821.316988062
2007-12-28,8684872.805421177,704238.1530543647,393.72659176029964,-240531.31913790217,-57474.628228889414,2016660.125588697,-1312421.9725343322,9148579.639337638
2007-12-29,8684479.078829417,704238.1530543647,393.72659176029964,-240531.31913790217,-57474.628228889414,2016660.125588697,-1312421.9725343322,9148185.912745878
2007-12-30,8684085.352237657,704238.1530543647,393.72659176029964,-240531.31913790217,-57474.628228889414,2016660.125588697,-1312421.9725343322,9147792.186154118
2007-12-31,8683691.625645896,704238.1530543647,393.72659176029964,-240531.31913790217,-57474.628228889414,2016660.125588697,-1312421.9725343322,9147398.459562358
2008-01-01,8683297.899054136,704238.1530543647,393.72659176029964,-240531.31913790217,-57474.628228889414,2016660.125588697,-1312421.9725343322,9147004.732970597
2008-01-02,9107245.245641721,0.0,2253.993451082481,0,0,0.0,0.0,9107245.245641721
2008-01-03,9107825.382146081,0,0.0,0,0,0,0,9107825.382146081
2008-01-04,9108405.555605453,0,0.0,0,0,0,0,9108405.555605453
2008-01-05,9108985.766022192,0,0.0,0,0,0,0,9108985.766022192
2008-01-06,9109566.013398653,0,0.0,0,0,0,0,9109566.013398653
2008-01-07,9110146.297737189,0,0.0,0,0,0,0,9110146.297737189
2008-01-08,9110726.619040154,0,0.0,0,0,0,0,9110726.619040154
2008-01-09,9111306.977309903,0,0.0,0,0,0,0,9111306.977309903
2008-01-10,9111887.372548793,0,0.0,0,0,0,0,9111887.372548793
2008-01-11,9112467.804759176,0,0.0,0,0,0,0,9112467.804759176
2008-01-12,9113048.27394341,0,0.0,0,0,0,0,9113048.27394341
2008-01-13,9113628.780103846,0,0.0,0,0,0,0,9113628.780103846
2008-01-14,9114209.323242843,0,0.0,0,0,0,0,9114209.323242843
2008-01-15,9114789.903362757,0,0.0,0,0,0,0,9114789.903362757
2008-01-16,9115370.52046594,0,0.0,0,0,0,0,9115370.52046594
2008-01-17,9115951.17455475,0,0.0,0,0,0,0,9115951.17455475
2008-01-18,9116531.865631545,0,0.0,0,0,0,0,9116531.865631545
2008-01-19,9117112.593698679,0,0.0,0,0,0,0,9117112.593698679
2008-01-20,9117693.358758507,0,0.0,0,0,0,0,9117693.358758507
2008-01-21,9118274.160813387,0,0.0,0,0,0,0,9118274.160813387
2008-01-22,9118854.999865677,0,0.0,0,0,0,0,9118854.999865677
2008-01-23,9119435.875917733,0,0.0,0,0,0,0,9119435.875917733
2008-01-24,9120016.78897191,0,0.0,0,0,0,0,9120016.78897191
2008-01-25,9120597.739030566,0,0.0,0,0,0,0,9120597.739030566
2008-01-26,9121178.726096058,0,0.0,0,0,0,0,9121178.726096058
2008-01-27,9121759.750170745,0,0.0,0,0,0,0,9121759.750170745
2008-01-28,9122340.811256984,0,0.0,0,0,0,0,9122340.811256984
2008-01-29,9122921.909357132,0,0.0,0,0,0,0,9122921.909357132
2008-01-30,9123503.044473547,0,0.0,0,0,0,0,9123503.044473547
2008-01-31,9124084.216608586,0,0.0,0,0,0,0,9124084.216608586
2008-02-01,9124665.425764607,0,0.0,0,0,0,0,9124665.425764607
2008-02-02,9125246.67194397,0,0.0,0,0,0,0,9125246.67194397
2008-02-03,9125827.955149032,0,0.0,0,0,0,0,9125827.955149032
2008-02-04,9126409.275382154,0,0.0,0,0,0,0,9126409.275382154
2008-02-05,9126990.63264569,0,0.0,0,0,0,0,9126990.63264569
2008-02-06,9127572.026942004,0,0.0,0,0,0,0,9127572.026942004
2008-02-07,9128153.458273452,0,0.0,0,0,0,0,9128153.458273452
2008-02-08,9128734.926642394,0,0.0,0,0,0,0,9128734.926642394
2008-02-09,9129316.43205119,0,0.0,0,0,0,0,9129316.43205119
2008-02-10,9129897.974502197,0,0.0,0,0,0,0,9129897.974502197
2008-02-11,9130479.553997777,0,0.0,0,0,0,0,9130479.553997777
2008-02-12,9131061.17054029,0,0.0,0,0,0,0,9131061.17054029
2008-02-13,9131642.824132094,0,0.0,0,0,0,0,9131642.824132094
2008-02-14,9132224.51477555,0,0.0,0,0,0,0,9132224.51477555
2008-02-15,9132806.24247302,0,0.0,0,0,0,0,9132806.24247302
2008-02-16,9133388.00722686,0,0.0,0,0,0,0,9133388.00722686
2008-02-17,9133969.809039434,0,0.0,0,0,0,0,9133969.809039434
2008-02-18,9134551.647913102,0,0.0,0,0,0,0,9134551.647913102
2008-02-19,9135133.523850225,0,0.0,0,0,0,0,9135133.523850225
2008-02-20,9135715.436853163,0,0.0,0,0,0,0,9135715.436853163
2008-02-21,9136297.386924278,0,0.0,0,0,0,0,9136297.386924278
2008-02-22,9136879.37406593,0,0.0,0,0,0,0,9136879.37406593
2008-02-23,9137461.398280483,0,0.0,0,0,0,0,9137461.398280483
2008-02-24,9138043.459570296,0,0.0,0,0,0,0,9138043.459570296
2008-02-25,9138625.557937732,0,0.0,0,0,0,0,9138625.557937732
2008-02-26,9139207.693385152,0,0.0,0,0,0,0,9139207.693385152
2008-02-27,9139789.865914918,0,0.0,0,0,0,0,9139789.865914918
2008-02-28,9140372.075529393,0,0.0,0,0,0,0,9140372.075529393
2008-02-29,9140954.322230939,0,0.0,0,0,0,0,9140954.322230939
2008-03-01,9141536.606021918,0,0.0,0,0,0,0,9141536.606021918
2008-03-02,9142118.926904693,0,0.0,0,0,0,0,9142118.926904693
2008-03-03,9142701.284881627,0,0.0,0,0,0,0,9142701.284881627
2008-03-04,9143283.679955082,0,0.0,0,0,0,0,9143283.679955082
2008-03-05,9143866.112127423,0,0.0,0,0,0,0,9143866.112127423
2008-03-06,9144448.581401011,0,0.0,0,0,0,0,9144448.581401011
2008-03-07,9145031.08777821,0,0.0,0,0,0,0,9145031.08777821
2008-03-08,9145613.631261386,0,0.0,0,0,0,0,9145613.631261386
2008-03-09,9146196.211852899,0,0.0,0,0,0,0,9146196.211852899
2008-03-10,9146778.829555115,0,0.0,0,0,0,0,9146778.829555115
2008-03-11,9147361.484370397,0,0.0,0,0,0,0,9147361.484370397
2008-03-12,9147944.17630111,0,0.0,0,0,0,0,9147944.17630111
2008-03-13,9148526.905349618,0,0.0,0,0,0,0,9148526.905349618
2008-03-14,9149109.671518285,0,0.0,0,0,0,0,9149109.671518285
2008-03-15,9149692.474809475,0,0.0,0,0,0,0,9149692.474809475
2008-03-16,9150275.315225555,0,0.0,0,0,0,0,9150275.315225555
2008-03-17,9150858.192768887,0,0.0,0,0,0,0,9150858.192768887
2008-03-18,9151441.107441837,0,0.0,0,0,0,0,9151441.107441837
2008-03-19,9152024.059246771,0,0.0,0,0,0,0,9152024.059246771
2008-03-20,9152607.048186054,0,0.0,0,0,0,0,9152607.048186054
2008-03-21,9153190.07426205,0,0.0,0,0,0,0,9153190.07426205
2008-03-22,9153773.137477128,0,0.0,0,0,0,0,9153773.137477128
2008-03-23,9154356.23783365,0,0.0,0,0,0,0,9154356.23783365
2008-03-24,9154939.375333985,0,0.0,0,0,0,0,9154939.375333985
2008-03-25,9155522.549980497,0,0.0,0,0,0,0,9155522.549980497
2008-03-26,9156105.761775553,0,0.0,0,0,0,0,9156105.761775553
2008-03-27,9156689.01072152,0,0.0,0,0,0,0,9156689.01072152
2008-03-28,9157272.296820763,0,0.0,0,0,0,0,9157272.296820763
2008-03-29,9157855.62007565,0,0.0,0,0,0,0,9157855.62007565
2008-03-30,9158438.980488548,0,0.0,0,0,0,0,9158438.980488548
2008-03-31,9159022.378061824,0,0.0,0,0,0,0,9159022.378061824
2008-04-01,9159605.812797844,0,0.0,0,0,0,0,9159605.812797844
2008-04-02,9160189.284698976,0,0.0,0,0,0,0,9160189.284698976
2008-04-03,9160772.793767588,0,0.0,0,0,0,0,9160772.793767588
2008-04-04,9161356.340006046,0,0.0,0,0,0,0,9161356.340006046
2008-04-05,9161939.923416719,0,0.0,0,0,0,0,9161939.923416719
2008-04-06,9162523.544001974,0,0.0,0,0,0,0,9162523.544001974
2008-04-07,9163107.20176418,0,0.0,0,0,0,0,9163107.20176418
2008-04-08,9163690.896705704,0,0.0,0,0,0,0,9163690.896705704
2008-04-09,9164274.628828915,0,0.0,0,0,0,0,9164274.628828915
2008-04-10,9164858.398136182,0,0.0,0,0,0,0,9164858.398136182
2008-04-11,9165442.204629874,0,0.0,0,0,0,0,9165442.204629874
2008-04-12,9166026.048312359,0,0.0,0,0,0,0,9166026.048312359
2008-04-13,9166609.929186005,0,0.0,0,0,0,0,9166609.929186005
2008-04-14,9167193.847253183,0,0.0,0,0,0,0,9167193.847253183
2008-04-15,9167777.802516261,0,0.0,0,0,0,0,9167777.802516261
2008-04-16,9168361.794977609,0,0.0,0,0,0,0,9168361.794977609
2008-04-17,9168945.824639596,0,0.0,0,0,0,0,9168945.824639596
