,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2007-12-10,10000637.005470604,0,0.0,0,0,0,0,10000637.005470604
2007-12-11,8746174.505470604,1250000.0,4462.5,0,0,5000000.0,-3750000.0,9996174.505470604
2007-12-12,8745045.905433904,1124187.447501192,1128.6000367000706,0,0,4886187.569834761,-3762000.1223335695,9869233.352935096
2007-12-13,8743909.663427735,1056376.0001478186,1136.2420061700075,0,0,4843849.354047844,-3787473.3539000256,9800285.663575552
2007-12-14,10528437.068928724,-833380.983567679,1998.1825870989528,0,0,2790134.140345748,-3623515.123913427,9695056.085361045
2007-12-15,10527350.01439155,-833380.9835676786,1087.054537174028,0,0,2790134.1403457485,-3623515.123913427,9693969.030823871
2007-12-16,10526262.959854377,-833380.9835676786,1087.054537174028,0,0,2790134.1403457485,-3623515.123913427,9692881.976286698
2007-12-17,10525127.94258413,-941423.8270393475,1135.017270245673,0,0,2841967.073779563,-3783390.9008189104,9583704.115544783
2007-12-18,11418321.732055167,-2006719.6514382125,1606.6942049005402,0,0,1827766.8759811618,-3834486.5274193743,9411602.080616955
2007-12-19,11417152.597077878,-2033341.0807580405,1169.1349772886365,0,0,1863775.5102040814,-3897116.590962122,9383811.516319837
2007-12-20,9997507.156581815,-673937.089531814,1918.1677687890433,0,0,1892091.836734694,-2566028.9262665077,9323570.06705
2007-12-21,9996726.96511913,-682231.6155413575,780.1914626843852,0,0,1918406.5934065934,-2600638.208947951,9314495.349577773
2007-12-22,9995946.773656446,-682231.6155413575,780.1914626843852,0,0,1918406.5934065934,-2600638.208947951,9313715.158115089
2007-12-23,9995166.582193762,-682231.6155413575,780.1914626843852,0,0,1918406.5934065934,-2600638.208947951,9312934.966652405
2007-12-24,9994367.408220092,-714246.840541413,799.1739736694882,0,0,1949666.4050235478,-2663913.245564961,9280120.567678679
2007-12-25,9993556.164408436,-744864.2492111765,811.2438116550327,0,0,1959281.7896389323,-2704146.038850109,9248691.915197259
2007-12-26,8612438.242956724,610918.532647952,1529.0815104481471,0,0,1982967.032967033,-1372048.500319081,9223356.775604676
2007-12-27,8446062.283054577,748292.7786499215,1783.3200382897257,0,0,1998292.7786499215,-1250000.0000000002,9194355.061704498
2007-12-28,8445668.556462817,704238.1530543647,393.72659176029964,0,0,2016660.125588697,-1312421.9725343322,9149906.70951718
2007-12-29,8445274.829871057,704238.1530543647,393.72659176029964,0,0,2016660.125588697,-1312421.9725343322,9149512.98292542
