,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2007-12-10,10000000.0,0,0.0,0,0,0,0,10000000.0
2007-12-11,9134210.417576952,1250000.0,4462.5,-388672.9175769526,-94544.61629213151,5000000.0,-3750000.0,9995537.5
2007-12-12,9133081.817540253,1124187.447501192,1128.6000367000706,-382905.6959831326,-94544.61629213151,4886187.569834761,-3762000.1223335695,9874363.569058312
2007-12-13,9131945.575534083,1056376.0001478186,1136.2420061700075,-377043.92977302044,-94544.61629213151,4843849.354047844,-3787473.3539000256,9811277.645908883
2007-12-14,10693965.933164308,-833380.983567679,1998.1825870989528,-139693.37714439147,-36463.946004800695,2790134.140345748,-3623515.123913427,9720891.572452238
2007-12-15,10692878.878627134,-833380.9835676786,1087.054537174028,-139693.37714439147,-36463.946004800695,2790134.1403457485,-3623515.123913427,9719804.517915064
2007-12-16,10691791.824089961,-833380.9835676786,1087.054537174028,-139693.37714439147,-36463.946004800695,2790134.1403457485,-3623515.123913427,9718717.463377891
2007-12-17,10690656.806819715,-941423.8270393475,1135.017270245673,-143923.19488094834,-36463.946004800695,2841967.073779563,-3783390.9008189104,9605309.78489942
2007-12-18,12330698.752157379,-2006719.6514382125,1606.6942049005402,-886468.6051190099,-231514.39151710886,1827766.8759811618,-3834486.5274193743,9437510.495600156
2007-12-19,12329529.61718009,-2033341.0807580405,1169.1349772886365,-892719.4936899717,-231514.39151710886,1863775.5102040814,-3897116.590962122,9403469.042732079
2007-12-20,10149410.830270216,-673937.089531814,1918.1677687890433,-142432.7805029125,-36521.225769977566,1892091.836734694,-2566028.9262665077,9333040.96023549
2007-12-21,10148630.638807531,-682231.6155413575,780.1914626843852,-144916.22385527098,-36521.225769977566,1918406.5934065934,-2600638.208947951,9321482.799410904
2007-12-22,10147850.447344847,-682231.6155413575,780.1914626843852,-144916.22385527098,-36521.225769977566,1918406.5934065934,-2600638.208947951,9320702.60794822
2007-12-23,10147070.255882163,-682231.6155413575,780.1914626843852,-144916.22385527098,-36521.225769977566,1918406.5934065934,-2600638.208947951,9319922.416485535
2007-12-24,10146271.081908492,-714246.840541413,799.1739736694882,-147910.96436840913,-36521.225769977566,1949666.4050235478,-2663913.245564961,9284113.27699867
2007-12-25,10145459.838096837,-744864.2492111765,811.2438116550327,-149116.16481881842,-36521.225769977566,1959281.7896389323,-2704146.038850109,9251479.424066842
2007-12-26,8721508.880897172,610918.532647952,1529.0815104481471,-106356.17152240576,-26035.78250242491,1982967.032967033,-1372048.500319081,9226071.24202272
