,cash,notionals,fee_incurred,hedge_notional,hedge_position,long_notionals,short_notionals,NAV
2007-12-10,10000000.0,0,0.0,0,0,0,0,10000000.0
2007-12-11,8745537.5,1250000.0,4462.5,0,0,5000000.0,-3750000.0,9995537.5
2007-12-12,8744408.8999633,1124187.447501192,1128.6000367000706,0,0,4886187.569834761,-3762000.1223335695,9868596.347464493
2007-12-13,8743272.657957131,1056376.0001478186,1136.2420061700075,0,0,4843849.354047844,-3787473.3539000256,9799648.658104949
2007-12-14,10527800.06345812,-833380.983567679,1998.1825870989528,0,0,2790134.140345748,-3623515.123913427,9694419.079890441
2007-12-15,10526713.008920947,-833380.9835676786,1087.054537174028,0,0,2790134.1403457485,-3623515.123913427,9693332.025353268
2007-12-16,10525625.954383774,-833380.9835676786,1087.054537174028,0,0,2790134.1403457485,-3623515.123913427,9692244.970816094
2007-12-17,10524490.937113527,-941423.8270393475,1135.017270245673,0,0,2841967.073779563,-3783390.9008189104,9583067.11007418
2007-12-18,11417684.726584563,-2006719.6514382125,1606.6942049005402,0,0,1827766.8759811618,-3834486.5274193743,9410965.075146351
2007-12-19,11416515.591607274,-2033341.0807580405,1169.1349772886365,0,0,1863775.5102040814,-3897116.590962122,9383174.510849234
2007-12-20,9996870.151111212,-673937.089531814,1918.1677687890433,0,0,1892091.836734694,-2566028.9262665077,9322933.061579397
2007-12-21,9996089.959648527,-682231.6155413575,780.1914626843852,0,0,1918406.5934065934,-2600638.208947951,9313858.34410717
2007-12-22,9995309.768185843,-682231.6155413575,780.1914626843852,0,0,1918406.5934065934,-2600638.208947951,9313078.152644485
2007-12-23,9994529.576723158,-682231.6155413575,780.1914626843852,0,0,1918406.5934065934,-2600638.208947951,9312297.9611818
2007-12-24,9993730.402749488,-714246.840541413,799.1739736694882,0,0,1949666.4050235478,-2663913.245564961,9279483.562208075
2007-12-25,9992919.158937832,-744864.2492111765,811.2438116550327,0,0,1959281.7896389323,-2704146.038850109,9248054.909726655
2007-12-26,8611801.23748612,610918.532647952,1529.0815104481471,0,0,1982967.032967033,-1372048.500319081,9222719.770134073
2007-12-27,8445425.277583973,748292.7786499215,1783.3200382897257,0,0,1998292.7786499215,-1250000.0000000002,9193718.056233894
2007-12-28,8445031.550992213,704238.1530543647,393.72659176029964,0,0,2016660.125588697,-1312421.9725343322,9149269.704046577
2007-12-29,8444637.824400453,704238.1530543647,393.72659176029964,0,0,2016660.125588697,-1312421.9725343322,9148875.977454817
2007-12-30,8444244.097808693,704238.1530543647,393.72659176029964,0,0,2016660.125588697,-1312421.9725343322,9148482.250863057
2007-12-31,8443850.371216932,704238.1530543647,393.72659176029964,0,0,2016660.125588697,-1312421.9725343322,9148088.524271296
2008-01-01,8443456.644625172,704238.1530543647,393.72659176029964,0,0,2016660.125588697,-1312421.9725343322,9147694.797679536
2008-01-02,9106217.855234163,0.0,2132.2604642548463,0,0,0.0,0.0,9106217.855234163
2008-01-03,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-04,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-05,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-06,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-07,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-08,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-09,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-10,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-11,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-12,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-13,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-14,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-15,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-16,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-17,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-18,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-19,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-20,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-21,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-22,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-23,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-24,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-25,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-26,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-27,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-28,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-29,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-30,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-01-31,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-01,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-02,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-03,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-04,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-05,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-06,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-07,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-08,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-09,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-10,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-11,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-12,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-13,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-14,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-15,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-16,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-17,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-18,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-19,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-20,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-21,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-22,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-23,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-24,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-25,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-26,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-27,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-28,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-02-29,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-01,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-02,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-03,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-04,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-05,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-06,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-07,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-08,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-09,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-10,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-11,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-12,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-13,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-14,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-15,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-16,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-17,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-18,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-19,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-20,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-21,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-22,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-23,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-24,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-25,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-26,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-27,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-28,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-29,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-30,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-03-31,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-01,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-02,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-03,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-04,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-05,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-06,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-07,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-08,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-09,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-10,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-11,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-12,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-13,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-14,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-15,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-16,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-17,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-18,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-19,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-20,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-21,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-22,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-23,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-24,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-25,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-26,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-27,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-28,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-29,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-04-30,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-01,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-02,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-03,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-04,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-05,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-06,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-07,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-08,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-09,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-10,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-11,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-12,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-13,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-14,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-15,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-16,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-17,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-18,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-19,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-20,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-21,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-22,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-23,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-24,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-25,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-26,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-27,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-28,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-29,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-30,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-05-31,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-06-01,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-06-02,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-06-03,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-06-04,9106217.855234163,0,0.0,0,0,0,0,9106217.855234163
2008-06-05,9101573.684127994,-6.984919309616089e-10,4644.171106169423,0,0,4553108.927617081,-4553108.927617081,9101573.684127994
2008-06-06,9100211.143878607,-44292.82231338613,1362.5402493873078,0,0,4497508.00897764,-4541800.831291026,9055918.32156522
2008-06-07,9098848.60362922,-44292.82231338613,1362.5402493873078,0,0,4497508.00897764,-4541800.831291026,9054555.781315833
2008-06-08,9097486.063379833,-44292.82231338613,1362.5402493873078,0,0,4497508.00897764,-4541800.831291026,9053193.241066447
2008-06-09,9096123.523130447,-44292.82231338613,1362.5402493873078,0,0,4497508.00897764,-4541800.831291026,9051830.70081706
2008-06-10,9094838.012237232,7763.908832921297,1285.5108932147846,0,0,4292800.219548871,-4285036.310715949,9102601.921070153
2008-06-11,11429668.500381231,-2383000.1856481256,2400.5660104815925,0,0,1645593.7238945686,-4028593.909542694,9046668.314733107
