,dates,year,code,in/out,enter_date,close_date,beta
4418,2015-05-01,2015,XXII,0,2015-05-04,2015-06-29,0.6555779548203959
4419,2015-05-01,2015,XSPA,0,2015-05-04,2015-06-29,0.1677823566039167
4420,2015-05-01,2015,WGRP,0,2015-05-04,2015-06-29,1.4954620771948095
4421,2015-05-01,2015,WBA,0,2015-05-04,2015-06-29,1.068983695682091
4422,2015-05-01,2015,VTNR,0,2015-05-04,2015-06-29,1.0881705461446014
4423,2015-05-01,2015,VTGDF,0,2015-05-04,2015-06-29,1.8037466246421137
4424,2015-05-01,2015,VIRX,0,2015-05-04,2015-06-29,0.8156946240902223
4425,2015-05-01,2015,VERU,0,2015-05-04,2015-06-29,0.3242970926226922
4426,2015-05-01,2015,VER,0,2015-05-04,2015-06-29,0.4372555983642839
4427,2015-05-01,2015,USAP,0,2015-05-04,2015-06-29,1.2452906884831856
4428,2015-05-01,2015,UONEK,0,2015-05-04,2015-06-29,1.138034513438434
4429,2015-05-01,2015,UFPT,0,2015-05-04,2015-06-29,0.6575529206146206
4430,2015-05-01,2015,TMUS,0,2015-05-04,2015-06-29,0.8396183261109381
4431,2015-05-01,2015,TLGTQ,0,2015-05-04,2015-06-29,1.2037545153789082
4432,2015-05-01,2015,TESS,0,2015-05-04,2015-06-29,1.412008074559015
4433,2015-05-01,2015,TCPIF,0,2015-05-04,2015-06-29,1.4011455175279612
4434,2015-05-01,2015,STRL,0,2015-05-04,2015-06-29,0.3778799567075471
4435,2015-05-01,2015,SPDC,0,2015-05-04,2015-06-29,2.3424328830082946
4436,2015-05-01,2015,SIF,0,2015-05-04,2015-06-29,1.547852379917112
4437,2015-05-01,2015,SHYF,0,2015-05-04,2015-06-29,1.1563267001124151
4438,2015-05-01,2015,SESN,0,2015-05-04,2015-06-29,1.3873722519778002
4439,2015-05-01,2015,SAVA,0,2015-05-04,2015-06-29,1.4850034934336354
4440,2015-05-01,2015,SAMG,0,2015-05-04,2015-06-29,0.4652716982610758
4441,2015-05-01,2015,SALM,0,2015-05-04,2015-06-29,0.7976163836326717
4442,2015-05-01,2015,RFP,0,2015-05-04,2015-06-29,1.0868253328152586
4443,2015-05-01,2015,RBCN,0,2015-05-04,2015-06-29,0.8844811338320001
4444,2015-05-01,2015,QUIK,0,2015-05-04,2015-06-29,0.6305571806653365
4445,2015-05-01,2015,QRHC,0,2015-05-04,2015-06-29,0.7964835158401038
4446,2015-05-01,2015,PSTV,0,2015-05-04,2015-06-29,2.3592926407530737
4447,2015-05-01,2015,PRKR,0,2015-05-04,2015-06-29,0.8394601310550289
4448,2015-05-01,2015,PQUEQ,0,2015-05-04,2015-06-29,0.7475348159466325
4449,2015-05-01,2015,PFMT,0,2015-05-04,2015-06-29,1.9434531461756697
4450,2015-05-01,2015,PFIE,0,2015-05-04,2015-06-29,0.929408881868986
4451,2015-05-01,2015,PALI,0,2015-05-04,2015-06-29,0.9210667016268034
4452,2015-05-01,2015,OEG,0,2015-05-04,2015-06-29,0.6497085853779097
4453,2015-05-01,2015,NRIM,0,2015-05-04,2015-06-29,0.8982424182113844
4454,2015-05-01,2015,NORNQ,0,2015-05-04,2015-06-29,1.6252342441329772
4455,2015-05-01,2015,NNVC,0,2015-05-04,2015-06-29,1.565267320528103
4456,2015-05-01,2015,NICK,0,2015-05-04,2015-06-29,0.5564901355756099
4457,2015-05-01,2015,NBSE,0,2015-05-04,2015-06-29,0.0654138940271794
4458,2015-05-01,2015,NATH,0,2015-05-04,2015-06-29,-0.5178036171283329
4459,2015-05-01,2015,MNTX,0,2015-05-04,2015-06-29,1.6319981506867096
4460,2015-05-01,2015,MN,0,2015-05-04,2015-06-29,1.5153354003097197
4461,2015-05-01,2015,MIND,0,2015-05-04,2015-06-29,1.3775521992999729
4462,2015-05-01,2015,MCBC,0,2015-05-04,2015-06-29,0.4614505158277008
4463,2015-05-01,2015,MBII,0,2015-05-04,2015-06-29,0.3086846278917161
4464,2015-05-01,2015,LEE,0,2015-05-04,2015-06-29,0.9272786006232828
4465,2015-05-01,2015,LAYN,0,2015-05-04,2015-06-29,0.6626178103376243
4466,2015-05-01,2015,IVAC,0,2015-05-04,2015-06-29,1.1663635658429676
4467,2015-05-01,2015,III,0,2015-05-04,2015-06-29,1.2112482972633432
4468,2015-05-01,2015,HZNP,0,2015-05-04,2015-06-29,1.831040922221072
4469,2015-05-01,2015,HGGGQ,0,2015-05-04,2015-06-29,1.6195208598855957
4470,2015-05-01,2015,HELIQ,0,2015-05-04,2015-06-29,2.677342738019843
4471,2015-05-01,2015,HEAR,0,2015-05-04,2015-06-29,1.2292168769449905
4472,2015-05-01,2015,GTTNQ,0,2015-05-04,2015-06-29,0.9773219117790316
4473,2015-05-01,2015,GORO,0,2015-05-04,2015-06-29,0.8111824414518514
4474,2015-05-01,2015,GLRI,0,2015-05-04,2015-06-29,0.7778378203689311
4475,2015-05-01,2015,GLBR,0,2015-05-04,2015-06-29,-0.9391426456317438
4476,2015-05-01,2015,GIFI,0,2015-05-04,2015-06-29,0.9508767480011832
4477,2015-05-01,2015,GALT,0,2015-05-04,2015-06-29,1.3814870083440616
4478,2015-05-01,2015,GAIA,0,2015-05-04,2015-06-29,0.5354197252778945
4479,2015-05-01,2015,FRBK,0,2015-05-04,2015-06-29,1.1770455656611492
4480,2015-05-01,2015,FFNW,0,2015-05-04,2015-06-29,0.4908133629343938
4481,2015-05-01,2015,ESIO,0,2015-05-04,2015-06-29,1.0102945470863554
4482,2015-05-01,2015,ESINQ,0,2015-05-04,2015-06-29,1.923993515353868
4483,2015-05-01,2015,ERII,0,2015-05-04,2015-06-29,1.3549397644310996
4484,2015-05-01,2015,ENZ,0,2015-05-04,2015-06-29,0.9971291555095172
4485,2015-05-01,2015,EGY,0,2015-05-04,2015-06-29,0.8384988963678036
4486,2015-05-01,2015,EGLTQ,0,2015-05-04,2015-06-29,1.7083823367163726
4487,2015-05-01,2015,EDMCQ,0,2015-05-04,2015-06-29,-2.6843859918136816
4488,2015-05-01,2015,EACIQ,0,2015-05-04,2015-06-29,1.373143703098651
4489,2015-05-01,2015,DXYN,0,2015-05-04,2015-06-29,1.9926398974293564
4490,2015-05-01,2015,DESTQ,0,2015-05-04,2015-06-29,0.7137722097467345
4491,2015-05-01,2015,CVOVQ,0,2015-05-04,2015-06-29,0.8257641466411386
4492,2015-05-01,2015,CUBI,0,2015-05-04,2015-06-29,0.7050830207588609
4493,2015-05-01,2015,CTG,0,2015-05-04,2015-06-29,1.2249610480070483
4494,2015-05-01,2015,CRRSQ,0,2015-05-04,2015-06-29,1.144652103385965
4495,2015-05-01,2015,CRK,0,2015-05-04,2015-06-29,1.574999013246226
4496,2015-05-01,2015,CPSS,0,2015-05-04,2015-06-29,0.7368853323916847
4497,2015-05-01,2015,CLBS,0,2015-05-04,2015-06-29,1.5862744066531074
4498,2015-05-01,2015,CIDM,0,2015-05-04,2015-06-29,0.8283884825399566
4499,2015-05-01,2015,CGRN,0,2015-05-04,2015-06-29,0.5714616735619058
4500,2015-05-01,2015,BPTH,0,2015-05-04,2015-06-29,1.4072775676029363
4501,2015-05-01,2015,BOOM,0,2015-05-04,2015-06-29,0.8556491755130449
4502,2015-05-01,2015,BONTQ,0,2015-05-04,2015-06-29,2.160056770758528
4503,2015-05-01,2015,BBQ,0,2015-05-04,2015-06-29,0.9474945815005928
4504,2015-05-01,2015,ATNM,0,2015-05-04,2015-06-29,0.1980569993542527
4505,2015-05-01,2015,ASPN,0,2015-05-04,2015-06-29,0.1356719430808523
4506,2015-05-01,2015,ASB,0,2015-05-04,2015-06-29,1.086247613489989
4507,2015-05-01,2015,AROPQ,0,2015-05-04,2015-06-29,1.43313823153386
4508,2015-05-01,2015,ARCW,0,2015-05-04,2015-06-29,0.9629034248829708
4509,2015-05-01,2015,AP,0,2015-05-04,2015-06-29,0.8201815489869837
4510,2015-05-01,2015,AMZGQ,0,2015-05-04,2015-06-29,2.280968344167557
4511,2015-05-01,2015,AMRS,0,2015-05-04,2015-06-29,1.3709962640235651
4512,2015-05-01,2015,AMPE,0,2015-05-04,2015-06-29,1.7689274482063224
4513,2015-05-01,2015,AMD,0,2015-05-04,2015-06-29,1.5382652213701116
4514,2015-05-01,2015,ADES,0,2015-05-04,2015-06-29,1.3070303684661044
4515,2015-05-01,2015,ACRX,0,2015-05-04,2015-06-29,2.1897539989676296
4516,2015-05-01,2015,ZAIS,1,2015-05-04,2015-06-29,0.0272344862044334
4517,2015-05-01,2015,XHR,1,2015-05-04,2015-06-29,0.8434628960642031
4518,2015-05-01,2015,XBIT,1,2015-05-04,2015-06-29,7.427060755866806
4519,2015-05-01,2015,WK,1,2015-05-04,2015-06-29,0.762175951495267
4520,2015-05-01,2015,W,1,2015-05-04,2015-06-29,-0.0357164220867526
4521,2015-05-01,2015,VSTO,1,2015-05-04,2015-06-29,1.3609153432720724
4522,2015-05-01,2015,VOLT,1,2015-05-04,2015-06-29,-0.149286577569052
4523,2015-05-01,2015,VIRT,1,2015-05-04,2015-06-29,1.2556143628335696
4524,2015-05-01,2015,VHI,1,2015-05-04,2015-06-29,0.2942915135950932
4525,2015-05-01,2015,VATE,1,2015-05-04,2015-06-29,0.1274107193088434
4526,2015-05-01,2015,UUUU,1,2015-05-04,2015-06-29,0.867710434901446
4527,2015-05-01,2015,UNIT,1,2015-05-04,2015-06-29,0.950724842122054
4528,2015-05-01,2015,UEC,1,2015-05-04,2015-06-29,0.8336292338684547
4529,2015-05-01,2015,UE,1,2015-05-04,2015-06-29,0.813760184649625
4530,2015-05-01,2015,TVPT,1,2015-05-04,2015-06-29,0.7536769192575054
4531,2015-05-01,2015,TRVN,1,2015-05-04,2015-06-29,1.4554557262070564
4532,2015-05-01,2015,TBK,1,2015-05-04,2015-06-29,-0.1448619247668889
4533,2015-05-01,2015,TARA,1,2015-05-04,2015-06-29,0.0619129876174364
4534,2015-05-01,2015,SYNH,1,2015-05-04,2015-06-29,0.7611574842795314
4535,2015-05-01,2015,SUM,1,2015-05-04,2015-06-29,0.8117695932656337
4536,2015-05-01,2015,STRP,1,2015-05-04,2015-06-29,0.9535523730842644
4537,2015-05-01,2015,STOR,1,2015-05-04,2015-06-29,0.8445574216538572
4538,2015-05-01,2015,SRNE,1,2015-05-04,2015-06-29,2.65036429581296
4539,2015-05-01,2015,SLRX,1,2015-05-04,2015-06-29,0.8838553066336506
4540,2015-05-01,2015,SIXD,1,2015-05-04,2015-06-29,2.07952971983026
4541,2015-05-01,2015,SIEN,1,2015-05-04,2015-06-29,1.5922544532058458
4542,2015-05-01,2015,SHAK,1,2015-05-04,2015-06-29,1.4407305745230692
4543,2015-05-01,2015,SGC,1,2015-05-04,2015-06-29,0.4052547112483138
4544,2015-05-01,2015,RLGT,1,2015-05-04,2015-06-29,0.0013998832163488
4545,2015-05-01,2015,RELYQ,1,2015-05-04,2015-06-29,0.0351384336275187
4546,2015-05-01,2015,QRVO,1,2015-05-04,2015-06-29,1.6291206313601665
4547,2015-05-01,2015,QCRH,1,2015-05-04,2015-06-29,0.0764169411134806
4548,2015-05-01,2015,PRTY,1,2015-05-04,2015-06-29,0.2196188691838227
4549,2015-05-01,2015,PRTK,1,2015-05-04,2015-06-29,1.2701382920869704
4550,2015-05-01,2015,PNTPQ,1,2015-05-04,2015-06-29,0.8343210850465942
4551,2015-05-01,2015,PLAY,1,2015-05-04,2015-06-29,0.3486689511340214
4552,2015-05-01,2015,PGRE,1,2015-05-04,2015-06-29,0.5656661209271826
4553,2015-05-01,2015,PFSW,1,2015-05-04,2015-06-29,-0.0678379652053857
4554,2015-05-01,2015,PARR,1,2015-05-04,2015-06-29,0.499117080994416
4555,2015-05-01,2015,OSBC,1,2015-05-04,2015-06-29,0.3073949121363368
4556,2015-05-01,2015,ORC,1,2015-05-04,2015-06-29,0.2607062295614931
4557,2015-05-01,2015,NXRT,1,2015-05-04,2015-06-29,0.5258874256530446
4558,2015-05-01,2015,NWS,1,2015-05-04,2015-06-29,0.6062157754639899
4559,2015-05-01,2015,NWLI,1,2015-05-04,2015-06-29,0.2153244360924895
4560,2015-05-01,2015,NVTA,1,2015-05-04,2015-06-29,2.49998363061204
4561,2015-05-01,2015,NVRO,1,2015-05-04,2015-06-29,3.260643742808049
4562,2015-05-01,2015,NVIV,1,2015-05-04,2015-06-29,0.2374647387605056
4563,2015-05-01,2015,NVEE,1,2015-05-04,2015-06-29,0.3575999343164892
4564,2015-05-01,2015,NSA,1,2015-05-04,2015-06-29,0.6213850756818428
4566,2015-05-01,2015,NPTN,1,2015-05-04,2015-06-29,0.2842491264036914
4567,2015-05-01,2015,NLSN,1,2015-05-04,2015-06-29,0.954466192353176
4568,2015-05-01,2015,NHTC,1,2015-05-04,2015-06-29,0.5308394522497362
4569,2015-05-01,2015,NEWR,1,2015-05-04,2015-06-29,1.01526116022721
4570,2015-05-01,2015,NEO,1,2015-05-04,2015-06-29,0.944289853737572
4571,2015-05-01,2015,MNST,1,2015-05-04,2015-06-29,0.8729576824730513
4572,2015-05-01,2015,MIC,1,2015-05-04,2015-06-29,0.6541903774925727
4573,2015-05-01,2015,MGPI,1,2015-05-04,2015-06-29,0.7824164741177976
4574,2015-05-01,2015,MDLM,1,2015-05-04,2015-06-29,1.7771117627143138
4575,2015-05-01,2015,LULU,1,2015-05-04,2015-06-29,0.6938706548877305
4576,2015-05-01,2015,LMAT,1,2015-05-04,2015-06-29,0.1590054265486478
4577,2015-05-01,2015,LJPC,1,2015-05-04,2015-06-29,1.910274474832495
4578,2015-05-01,2015,LEN,1,2015-05-04,2015-06-29,1.324971383815005
4579,2015-05-01,2015,LC,1,2015-05-04,2015-06-29,1.1474672948648357
4580,2015-05-01,2015,LBRDK,1,2015-05-04,2015-06-29,0.3744167217729195
4581,2015-05-01,2015,LBRDA,1,2015-05-04,2015-06-29,0.6730925568735734
4582,2015-05-01,2015,LAWS,1,2015-05-04,2015-06-29,0.3941054830998937
4583,2015-05-01,2015,KRNY,1,2015-05-04,2015-06-29,0.5579817083559787
4584,2015-05-01,2015,KLXI,1,2015-05-04,2015-06-29,0.2171309319380603
4585,2015-05-01,2015,KDNY,1,2015-05-04,2015-06-29,4.604293100848629
4586,2015-05-01,2015,KALV,1,2015-05-04,2015-06-29,11.978671176767438
4587,2015-05-01,2015,JUNO,1,2015-05-04,2015-06-29,2.6624906178121948
4588,2015-05-01,2015,JRVR,1,2015-05-04,2015-06-29,0.226747059837274
4589,2015-05-01,2015,IRT,1,2015-05-04,2015-06-29,0.4383463024069629
4590,2015-05-01,2015,IRMD,1,2015-05-04,2015-06-29,-0.0161603220595133
4591,2015-05-01,2015,IOVA,1,2015-05-04,2015-06-29,0.300849220775653
4592,2015-05-01,2015,INOV,1,2015-05-04,2015-06-29,0.4359528580515901
4593,2015-05-01,2015,IMH,1,2015-05-04,2015-06-29,1.2018296550320242
4594,2015-05-01,2015,IMAX,1,2015-05-04,2015-06-29,0.6740396049502623
4595,2015-05-01,2015,IGT,1,2015-05-04,2015-06-29,0.3895628383533688
4596,2015-05-01,2015,HUBS,1,2015-05-04,2015-06-29,1.421703832751986
4597,2015-05-01,2015,HSKA,1,2015-05-04,2015-06-29,0.3769101885799773
4598,2015-05-01,2015,HOFT,1,2015-05-04,2015-06-29,0.2090992936260627
4599,2015-05-01,2015,HIFS,1,2015-05-04,2015-06-29,0.0386137730939588
4600,2015-05-01,2015,HEI,1,2015-05-04,2015-06-29,1.0253483293128032
4601,2015-05-01,2015,HDP,1,2015-05-04,2015-06-29,0.6172491990311727
4602,2015-05-01,2015,HBIO,1,2015-05-04,2015-06-29,0.3620663982214611
4603,2015-05-01,2015,GWB,1,2015-05-04,2015-06-29,0.9545775714316488
4604,2015-05-01,2015,GRBK,1,2015-05-04,2015-06-29,0.5648253497638123
4605,2015-05-01,2015,GNE,1,2015-05-04,2015-06-29,0.0277895575712305
4606,2015-05-01,2015,GLAE,1,2015-05-04,2015-06-29,1.1496607322104333
