,rank dates,year,code,in/out,enter_date,exit_date,beta
0,2007-12-10,2007,600881.SH,1,2007-12-11,2008-01-02,1.24150533830102
1,2007-12-10,2007,600497.SH,1,2007-12-11,2008-01-02,2.207381705945928
2,2007-12-10,2007,600739.SH,1,2007-12-11,2008-01-02,1.4990251035726243
3,2007-12-10,2007,601168.SH,1,2007-12-11,2007-12-28,1.2448342468024156
4,2007-12-10,2007,601939.SH,1,2007-12-11,2008-01-02,0.8170424457902459
5,2007-12-10,2007,600037.SH,0,2007-12-11,2008-01-02,1.174623140695796
6,2007-12-10,2007,600583.SH,0,2007-12-11,2008-01-02,1.078865788292474
7,2007-12-10,2007,600688.SH,0,2007-12-27,2008-01-02,0.8474988334524408
8,2007-12-10,2007,600026.SH,0,2007-12-11,2008-01-02,1.1777738049105837
9,2008-06-04,2008,600029.SH,1,2008-06-05,2008-07-01,0.9973744689929176
10,2008-06-04,2008,601390.SH,1,2008-06-05,2008-07-01,0.757002704970632
11,2008-06-04,2008,601991.SH,1,2008-06-05,2008-07-01,0.6636991070853291
12,2008-06-04,2008,601601.SH,1,2008-06-05,2008-07-01,1.1670122586971472
13,2008-06-04,2008,601919.SH,1,2008-06-05,2008-07-01,1.082434670767188
14,2008-06-04,2008,600100.SH,0,2008-06-05,2008-07-01,0.8845370694000493
15,2008-06-04,2008,600832.SH,0,2008-06-05,2008-07-01,0.9269634616533124
16,2008-06-04,2008,601872.SH,0,2008-06-05,2008-07-01,0.9551810211727346
17,2008-06-04,2008,600309.SH,0,2008-06-05,2008-07-01,0.9881407259507664
18,2008-06-04,2008,600011.SH,0,2008-06-05,2008-07-01,0.7781202463093569
19,2008-12-15,2008,601169.SH,1,2008-12-16,2009-01-05,0.9971939328079852
20,2008-12-15,2008,600837.SH,1,2008-12-16,2009-01-05,1.4418212666547157
21,2008-12-15,2008,601899.SH,1,2008-12-16,2009-01-05,0.9448835056809164
