,rank dates,year,code,in/out,enter_date,exit_date,beta
200,2018-05-28,2018,600703.SH,1,2018-05-29,2018-06-11,0.9156359601044144
201,2018-05-28,2018,600690.SH,1,2018-05-29,2018-06-11,1.029109965863754
202,2018-05-28,2018,600585.SH,1,2018-05-29,2018-06-11,1.5377930071764505
203,2018-05-28,2018,601360.SH,1,2018-05-29,2018-06-11,1.1482076468194191
204,2018-05-28,2018,600276.SH,1,2018-05-29,2018-06-11,1.45496327025147
205,2018-05-28,2018,600919.SH,0,2018-05-29,2018-06-11,0.5856576378147834
206,2018-05-28,2018,601669.SH,0,2018-05-29,2018-06-11,0.6315363484300974
207,2018-05-28,2018,601985.SH,0,2018-05-29,2018-06-11,0.627119760940162
208,2018-05-28,2018,600837.SH,0,2018-05-29,2018-06-11,0.927590445023836
209,2018-05-28,2018,600518.SH,0,2018-05-29,2018-06-11,0.389945398516853
210,2018-12-03,2018,600196.SH,1,2018-12-04,2018-12-17,1.2608173829472686
211,2018-12-03,2018,603259.SH,1,2018-12-04,2018-12-17,0.9250465393839924
212,2018-12-03,2018,601888.SH,1,2018-12-04,2018-12-17,0.7810923901704608
213,2018-12-03,2018,601138.SH,1,2018-12-04,2018-12-17,1.0574546345363651
214,2018-12-03,2018,601939.SH,1,2018-12-04,2018-12-17,0.8920049802511009
215,2018-12-03,2018,601878.SH,0,2018-12-04,2018-12-17,1.6234470273388508
216,2018-12-03,2018,600111.SH,0,2018-12-04,2018-12-17,0.9740874094411608
217,2018-12-03,2018,600958.SH,0,2018-12-04,2018-12-17,1.602555810581501
218,2018-12-03,2018,601881.SH,0,2018-12-04,2018-12-17,1.9086957116280447
219,2018-12-03,2018,600999.SH,0,2018-12-04,2018-12-17,1.4493941745100745
220,2019-06-03,2019,600031.SH,1,2019-06-04,2019-06-17,1.3805997061798376
221,2019-06-03,2019,601111.SH,1,2019-06-04,2019-06-17,1.493329103120121
222,2019-06-03,2019,600837.SH,1,2019-06-04,2019-06-17,1.7540966340166368
223,2019-06-03,2019,601066.SH,1,2019-06-04,2019-06-17,2.460372779378338
224,2019-06-03,2019,601319.SH,1,2019-06-04,2019-06-17,1.4998818575099582
225,2019-06-03,2019,600547.SH,0,2019-06-04,2019-06-17,-1.125143133617863
226,2019-06-03,2019,600606.SH,0,2019-06-04,2019-06-17,0.8266905167425198
227,2019-06-03,2019,601169.SH,0,2019-06-04,2019-06-17,0.5806506785173844
228,2019-06-03,2019,601006.SH,0,2019-06-04,2019-06-17,0.4890815323914438
229,2019-06-03,2019,601360.SH,0,2019-06-04,2019-06-17,1.171374707134691
230,2019-12-02,2019,601236.SH,1,2019-12-03,2019-12-16,1.688998331120558
231,2019-12-02,2019,601012.SH,1,2019-12-03,2019-12-16,1.517450979253056
232,2019-12-02,2019,600547.SH,1,2019-12-03,2019-12-16,0.874208445506515
233,2019-12-02,2019,600009.SH,1,2019-12-03,2019-12-16,1.1932206689496987
234,2019-12-02,2019,600029.SH,0,2019-12-03,2019-12-16,1.211874953891279
235,2019-12-02,2019,600019.SH,0,2019-12-03,2019-12-16,1.061132078780497
236,2019-12-02,2019,601229.SH,0,2019-12-03,2019-12-16,0.938572108534158
237,2019-12-02,2019,601800.SH,0,2019-12-03,2019-12-16,1.2707818514102838
238,2020-06-01,2020,603160.SH,1,2020-06-02,2020-06-15,0.9978252012090952
239,2020-06-01,2020,600588.SH,1,2020-06-02,2020-06-15,0.7864478254426283
240,2020-06-01,2020,600745.SH,1,2020-06-02,2020-06-15,1.2104780647305151
241,2020-06-01,2020,601816.SH,1,2020-06-02,2020-06-15,0.5440354202262112
242,2020-06-01,2020,601658.SH,1,2020-06-02,2020-06-15,0.9268979805908306
243,2020-06-01,2020,600340.SH,0,2020-06-02,2020-06-15,0.9670849029747348
244,2020-06-01,2020,601111.SH,0,2020-06-02,2020-06-15,0.8965071342055724
245,2020-06-01,2020,601390.SH,0,2020-06-02,2020-06-15,0.8594638902284588
246,2020-06-01,2020,601766.SH,0,2020-06-02,2020-06-15,0.7900257619138689
247,2020-06-01,2020,601939.SH,0,2020-06-02,2020-06-15,0.6615243335582102
248,2020-11-27,2020,603986.SH,1,2020-11-30,2020-12-14,0.7894623666245678
249,2020-11-27,2020,600570.SH,1,2020-11-30,2020-12-14,1.1037260788562382
250,2020-11-27,2020,600918.SH,1,2020-11-30,2020-12-14,0.7431857489681174
251,2020-11-27,2020,603501.SH,1,2020-11-30,2020-12-14,1.4340069742463066
252,2020-11-27,2020,603288.SH,1,2020-11-30,2020-12-14,1.3020208725526417
253,2020-11-27,2020,601989.SH,0,2020-11-30,2020-12-14,0.3697310213320554
