Unnamed: 0,Unnamed: 0.1,rank dates,rebalance dates,code,in/out,enter_date,enter_price,exit_date,exit_price,beta
0,0,2021-05-28,2021-06-14,601816.SH,0,2021-05-31,5.77,2021-06-15,5.81,0.26186728044102586
1,1,2021-05-28,2021-06-14,601319.SH,0,2021-05-31,6.21,2021-06-15,6.0,0.2075972260000606
2,2,2021-05-28,2021-06-14,601186.SH,0,2021-05-31,7.69,2021-06-15,7.54,0.100340314644682
3,3,2021-05-28,2021-06-14,603160.SH,0,2021-05-31,126.35,2021-06-15,120.3,2.0650895139453014
4,4,2021-05-28,2021-06-14,601236.SH,0,2021-05-31,13.45,2021-06-15,12.58,0.38661507633381076
5,5,2021-05-28,2021-06-14,600809.SH,1,2021-05-31,455.51,2021-06-15,470.07,2.2474093266242336
6,6,2021-05-28,2021-06-14,601995.SH,1,2021-05-31,59.67,2021-06-15,60.56,1.4688108109716922
7,7,2021-05-28,2021-06-14,601899.SH,1,2021-05-31,11.29,2021-06-15,10.88,2.384412920053687
8,8,2021-05-28,2021-06-14,600438.SH,1,2021-05-31,38.18,2021-06-15,36.5,2.2488707090761606
9,9,2021-05-28,2021-06-14,600893.SH,1,2021-05-31,51.15,2021-06-15,50.95,1.744236364414017
10,10,2020-11-27,2020-12-13,601988.SH,0,2020-11-30,3.35,2020-12-14,3.21,0.08742748234973645
11,11,2020-11-27,2020-12-13,601658.SH,0,2020-11-30,5.28,2020-12-14,4.93,0.3811340274213359
12,12,2020-11-27,2020-12-13,601328.SH,0,2020-11-30,4.78,2020-12-14,4.55,0.10956682287956257
13,13,2020-11-27,2020-12-13,603993.SH,0,2020-11-30,4.55,2020-12-14,4.4,1.6411784459470824
14,14,2020-11-27,2020-12-13,601989.SH,0,2020-11-30,4.34,2020-12-14,4.08,0.3697310213320554
15,15,2020-11-27,2020-12-13,603288.SH,1,2020-11-30,162.84,2020-12-14,189.19,1.3020208725526417
16,16,2020-11-27,2020-12-13,603501.SH,1,2020-11-30,207.0,2020-12-14,234.99,1.4340069742463066
17,17,2020-11-27,2020-12-13,600918.SH,1,2020-11-30,16.22,2020-12-14,15.9,0.7431857489681174
18,18,2020-11-27,2020-12-13,600570.SH,1,2020-11-30,86.58,2020-12-14,101.01,1.1037260788562382
19,19,2020-11-27,2020-12-13,603986.SH,1,2020-11-30,205.1,2020-12-14,201.2,0.7894623666245678
20,20,2020-06-01,2020-06-14,601939.SH,0,2020-06-02,6.39,2020-06-15,6.33,0.6615243335582102
21,21,2020-06-01,2020-06-14,601766.SH,0,2020-06-02,5.89,2020-06-15,5.67,0.7900257619138689
22,22,2020-06-01,2020-06-14,601390.SH,0,2020-06-02,5.32,2020-06-15,5.09,0.8594638902284588
23,23,2020-06-01,2020-06-14,601111.SH,0,2020-06-02,6.66,2020-06-15,6.6,0.8965071342055724
24,24,2020-06-01,2020-06-14,600340.SH,0,2020-06-02,22.28,2020-06-15,21.81,0.9670849029747349
25,25,2020-06-01,2020-06-14,601658.SH,1,2020-06-02,5.09,2020-06-15,4.7,0.9268979805908306
26,26,2020-06-01,2020-06-14,601816.SH,1,2020-06-02,6.35,2020-06-15,6.35,0.5440354202262112
27,27,2020-06-01,2020-06-14,600745.SH,1,2020-06-02,104.2,2020-06-15,105.5,1.2104780647305151
28,28,2020-06-01,2020-06-14,600588.SH,1,2020-06-02,36.76,2020-06-15,35.99,0.7864478254426283
29,29,2020-06-01,2020-06-14,603160.SH,1,2020-06-02,224.36,2020-06-15,207.4,0.9978252012090951
30,30,2019-12-02,2019-12-15,601800.SH,0,2019-12-03,8.82,2019-12-16,8.98,1.2707818514102838
31,31,2019-12-02,2019-12-15,601229.SH,0,2019-12-03,9.23,2019-12-16,9.27,0.9385721085341581
32,32,2019-12-02,2019-12-15,600019.SH,0,2019-12-03,5.44,2019-12-16,5.67,1.061132078780497
33,33,2019-12-02,2019-12-15,600029.SH,0,2019-12-03,6.6,2019-12-16,6.82,1.211874953891279
34,34,2019-12-02,2019-12-15,600009.SH,1,2019-12-03,75.9,2019-12-16,79.95,1.1932206689496987
35,35,2019-12-02,2019-12-15,600547.SH,1,2019-12-03,30.12,2019-12-16,30.89,0.874208445506515
36,36,2019-12-02,2019-12-15,601012.SH,1,2019-12-03,24.26,2019-12-16,25.18,1.517450979253056
37,37,2019-12-02,2019-12-15,601236.SH,1,2019-12-03,14.64,2019-12-16,16.5,1.688998331120558
38,38,2019-06-03,2019-06-16,601360.SH,0,2019-06-04,20.78,2019-06-17,20.8,1.171374707134691
39,39,2019-06-03,2019-06-16,601006.SH,0,2019-06-04,8.41,2019-06-17,8.47,0.4890815323914438
40,40,2019-06-03,2019-06-16,601169.SH,0,2019-06-04,5.8,2019-06-17,5.82,0.5806506785173844
41,41,2019-06-03,2019-06-16,600606.SH,0,2019-06-04,6.62,2019-06-17,6.73,0.8266905167425198
42,42,2019-06-03,2019-06-16,600547.SH,0,2019-06-04,32.8,2019-06-17,34.77,-1.125143133617863
43,43,2019-06-03,2019-06-16,601319.SH,1,2019-06-04,9.15,2019-06-17,8.9,1.4998818575099582
44,44,2019-06-03,2019-06-16,601066.SH,1,2019-06-04,23.38,2019-06-17,20.0,2.460372779378338
45,45,2019-06-03,2019-06-16,600837.SH,1,2019-06-04,12.28,2019-06-17,12.71,1.7540966340166368
46,46,2019-06-03,2019-06-16,601111.SH,1,2019-06-04,8.81,2019-06-17,8.76,1.493329103120121
47,47,2019-06-03,2019-06-16,600031.SH,1,2019-06-04,12.02,2019-06-17,12.75,1.3805997061798376
48,48,2018-12-03,2018-12-16,600999.SH,0,2018-12-04,14.15,2018-12-17,13.73,1.4493941745100745
49,49,2018-12-03,2018-12-16,601881.SH,0,2018-12-04,7.78,2018-12-17,7.22,1.9086957116280452
50,50,2018-12-03,2018-12-16,600958.SH,0,2018-12-04,9.35,2018-12-17,8.38,1.602555810581501
51,51,2018-12-03,2018-12-16,600111.SH,0,2018-12-04,9.9,2018-12-17,9.31,0.9740874094411607
52,52,2018-12-03,2018-12-16,601878.SH,0,2018-12-04,8.32,2018-12-17,7.91,1.6234470273388508
53,53,2018-12-03,2018-12-16,601939.SH,1,2018-12-04,6.75,2018-12-17,6.63,0.8920049802511009
54,54,2018-12-03,2018-12-16,601138.SH,1,2018-12-04,12.04,2018-12-17,12.0,1.0574546345363651
55,55,2018-12-03,2018-12-16,601888.SH,1,2018-12-04,56.85,2018-12-17,60.42,0.7810923901704608
56,56,2018-12-03,2018-12-16,603259.SH,1,2018-12-04,84.0,2018-12-17,78.66,0.9250465393839924
57,57,2018-12-03,2018-12-16,600196.SH,1,2018-12-04,29.56,2018-12-17,25.4,1.2608173829472686
58,58,2018-05-28,2018-06-10,600518.SH,0,2018-05-29,27.87,2018-06-11,24.64,0.38994539851685306
59,59,2018-05-28,2018-06-10,600837.SH,0,2018-05-29,10.8,2018-06-11,10.24,0.927590445023836
60,60,2018-05-28,2018-06-10,601985.SH,0,2018-05-29,6.4,2018-06-11,5.78,0.627119760940162
61,61,2018-05-28,2018-06-10,601669.SH,0,2018-05-29,6.1,2018-06-11,5.66,0.6315363484300974
62,62,2018-05-28,2018-06-10,600919.SH,0,2018-05-29,7.37,2018-06-11,6.84,0.5856576378147834
63,63,2018-05-28,2018-06-10,600276.SH,1,2018-05-29,100.25,2018-06-11,81.09,1.45496327025147
64,64,2018-05-28,2018-06-10,601360.SH,1,2018-05-29,34.07,2018-06-11,36.5,1.1482076468194193
65,65,2018-05-28,2018-06-10,600585.SH,1,2018-05-29,34.08,2018-06-11,35.37,1.5377930071764505
66,66,2018-05-28,2018-06-10,600690.SH,1,2018-05-29,18.76,2018-06-11,20.43,1.0291099658637541
67,67,2018-05-28,2018-06-10,600703.SH,1,2018-05-29,20.94,2018-06-11,21.4,0.9156359601044144
68,68,2017-11-27,2017-12-10,601788.SH,0,2017-11-28,15.09,2017-12-11,15.01,0.5292761743857928
69,69,2017-11-27,2017-12-10,601901.SH,0,2017-11-28,7.83,2017-12-11,7.1,0.39199057027313794
70,70,2017-11-27,2017-12-10,601198.SH,0,2017-11-28,16.66,2017-12-11,16.36,0.5148915016063121
